,ParticipantID,Run,Condition,ConditionName,Question,QuestionNumber,peerName,left_or_right,FirstButtonPressTime,CorrectButtonPressTime,ParticipantsFirstAnswer,First_RT,Correct_RT,ItemStart,ItemEnd,FeedbackStart,FeedbackEnd,ItemDur,FeedbackDur,Real_ITI,Real_ISI,TrialStart,TrialEnd,TrialEnd_Length,FixStart,FixDur,FixEnd,item_x,valence,item_y,rating,valence_redcap,redcap_v_task
0,SCN_205,4,1,LowReward_Computer,like being with friends,73.0,Computer,L,8.51456859999962,8.51456859999962,L,0.4162323000000469,0.4162323000000469,6.565289599999687,8.799641199999769,11.922143799999958,13.922676799999865,2.234351600000082,2.000532999999905,0.996994000000086,3.122490499999913,6.022935099999813,13.922728599999571,8.906058099999882,0.0166060999999899,5.000007399999959,5.0166134999999485,like being with friends,pos,73,5.0,pos,0
1,SCN_205,4,5,HighReward_SimPeer,like libraries,208.0,Charlie,R,20.783393199999864,20.783393199999864,R,0.6124353999998675,0.6124353999998675,18.642079999999623,21.072549799999702,23.126919499999985,25.12699019999991,2.4304698000000826,2.000070699999924,4.1769336999996085,2.0543581000001723,18.11946189999981,25.12703879999981,11.197568700000376,,,,like libraries,pos,208,5.0,pos,0
2,SCN_205,4,0,LowReward_DisPeer,popular,195.0,Shiloh,R,31.32609859999957,31.32609859999957,R,0.952751199999966,0.952751199999966,28.843966399999772,31.60886769999979,34.03009089999978,36.03058439999995,2.7649013000000195,2.000493500000175,3.177514500000143,2.421211100000164,28.324355899999773,36.03063189999966,10.89817959999982,,,,popular,pos,195,5.0,pos,0
3,SCN_205,4,2,LowReward_SimPeer,have a job,201.0,Charlie,L,,,,,,39.28198039999961,43.0969955999999,45.317795899999965,47.317847999999685,3.815015200000289,2.0000520999997207,2.7132064000002174,2.220787900000232,38.76373159999957,47.3178998999997,11.281825900000058,,,,have a job,pos,201,2.0,neg,1
4,SCN_205,4,1,LowReward_Computer,like friends,180.0,Computer,L,,,,,,50.266782899999725,54.0840905,57.60740419999957,59.607057599999735,3.8173076000002766,1.9996534000001704,2.4135654000001523,3.5233014000000367,49.751770699999724,59.60710949999975,12.283566900000096,,,,like friends,pos,180,5.0,pos,0
5,SCN_205,4,4,HighReward_Computer,a vegan,194.0,Computer,L,,,,,,63.459773199999745,67.27546339999981,72.80246939999961,74.8024134999996,3.8156902000000623,1.9999440999999931,3.3096879999998237,5.526993400000265,62.93753619999961,74.80247069999996,15.189672999999855,,,,a vegan,pos,194,1.0,neg,1
6,SCN_205,4,5,HighReward_SimPeer,like gardening,43.0,Charlie,R,78.98025559999996,78.98025559999996,R,0.533914999999979,0.533914999999979,76.9168550999998,79.26448319999963,81.83590319999985,83.8366019,2.347628099999838,2.0006987000001573,1.5657226999996965,2.5714081999999507,76.38861569999972,83.83664819999967,9.02808189999996,,,,like gardening,pos,43,2.0,neg,1
7,SCN_205,4,0,LowReward_DisPeer,like philosophy,103.0,Shiloh,R,89.5068581999999,89.5068581999999,R,0.5576300000002448,0.5576300000002448,87.41818479999984,89.80085029999964,92.20546449999983,94.2047561999998,2.3826654999998027,1.999291699999958,3.039248099999895,2.4046029000001,86.8956578999996,94.2048092,10.362407000000076,,,,like philosophy,pos,103,1.0,neg,1
8,SCN_205,4,1,LowReward_Computer,dont like young adult lit,64.0,Computer,R,,,,,,100.39726839999958,104.21109829999978,108.33554859999958,110.33540839999978,3.8138299000002007,1.9998598000001948,5.653214399999797,4.124438400000145,99.87898209999958,110.3354589999999,16.124738199999683,,,,,,64,2.0,neg,1
9,SCN_205,4,2,LowReward_SimPeer,like playing clarinet,45.0,Charlie,L,115.85449679999964,115.85449679999964,L,1.8417106000001695,1.8417106000001695,112.48501799999984,116.13335629999985,119.40718519999972,121.40676079999956,3.6483382999999776,1.9995755999998437,1.6037679999999457,3.273817599999802,111.95966129999988,121.40681619999988,11.065364300000056,,,,like playing clarinet,pos,45,2.0,neg,1
10,SCN_205,4,0,LowReward_DisPeer,don't like wearing pjs all day,61.0,Shiloh,L,,,,,,123.1585613999996,126.9702559999996,132.6475473999999,134.64761819999967,3.81169460000001,2.000070799999776,1.208987900000011,5.67727879999984,122.63555509999968,134.64766999999983,13.234793699999956,,,,don't like wearing pjs all day,neg,61,4.0,pos,1
