,ParticipantID,Run,Condition,ConditionName,Question,QuestionNumber,peerName,left_or_right,FirstButtonPressTime,CorrectButtonPressTime,ParticipantsFirstAnswer,First_RT,Correct_RT,ItemStart,ItemEnd,FeedbackStart,FeedbackEnd,ItemDur,FeedbackDur,Real_ITI,Real_ISI,TrialStart,TrialEnd,TrialEnd_Length,FixStart,FixDur,FixEnd
0,SCN_101,3,3,HighReward_DisPeer,Like dogs,37.0,Shiloh,L,N/A,N/A,N/A,N/A,N/A,7.328687000001082,11.153980000002775,13.225184900002205,15.224853799998527,3.825293000001693,1.9996688999963226,1.7666339999996126,2.071192699993844,6.792527400000836,15.22491039999295,10.208215499995276,0.01658060000045225,5.00005269999383,5.016633299994282
1,SCN_101,3,1,LowReward_Computer,Don't like homework,106.0,Computer,R,N/A,N/A,N/A,N/A,N/A,19.29684300000372,23.109600199997658,25.697688300002483,27.697217299995827,3.812757199993939,1.9995289999933448,3.511638600000879,2.588076000000001,18.756616300001042,27.697276999999303,12.465110000004643,N/A,N/A,N/A
2,SCN_101,3,5,HighReward_SimPeer,Like reality TV,76.0,Charlie,R,N/A,N/A,N/A,N/A,N/A,30.102431699997396,33.91301190000377,37.5197632000054,39.52057500000228,3.8105802000063704,2.0008117999968817,1.8561087999987649,3.6067389999952866,29.574290199991083,39.520630899991374,11.817603999996209,N/A,N/A,N/A
3,SCN_101,3,4,HighReward_Computer,Don't like bugs,145.0,Computer,L,N/A,N/A,N/A,N/A,N/A,42.65353719999257,46.46974749999936,51.94666879999568,53.94749560000491,3.8162103000067873,2.0008268000092357,2.5845239000045694,5.476908899989212,42.12469850000343,53.94755480000458,14.421149799993145,N/A,N/A,N/A
4,SCN_101,3,4,HighReward_Computer,Like making videos,101.0,Computer,R,N/A,N/A,N/A,N/A,N/A,55.3122047999932,59.1266811999958,63.551593199998024,65.55120980000356,3.8144764000026044,1.9996166000055382,0.826221399998758,4.424899400008144,54.793324999991455,65.5512677999941,11.597868500000914,N/A,N/A,N/A
5,SCN_101,3,5,HighReward_SimPeer,Like cookies,94.0,Charlie,R,69.94568259999505,70.58626379999623,N/A,0.5164348000107566,1.1570123999990756,67.90165960000013,70.86521150000044,73.48679979999724,75.48743710000417,2.9635519000003114,2.000637300006929,1.8024288000015076,2.621575999990455,67.37456039999961,75.48750000000291,9.929969400007394,N/A,N/A,N/A
6,SCN_101,3,0,LowReward_DisPeer,Like babysitting,167.0,Shiloh,R,79.83311530000356,80.34488920000149,N/A,0.5188105999986874,1.030577199999243,77.7845290999976,80.6334363999922,84.8579419000016,86.8583176999964,2.8489072999946075,2.0003757999947993,1.7501726000045892,4.224493199988501,77.25738029999775,86.85837819999142,11.36490459999186,N/A,N/A,N/A
7,SCN_101,3,3,HighReward_DisPeer,Not superstitious,2.0,Shiloh,L,94.2938562999916,94.2938562999916,L,0.45245100000465754,0.45245100000465754,92.31242930000008,94.57610180000484,99.21864740000456,101.21865209999669,2.263672500004759,2.0000046999921324,4.910055499989539,4.642534200000227,91.78846919999341,101.21870919999492,14.354468299992732,N/A,N/A,N/A
8,SCN_101,3,0,LowReward_DisPeer,Like shopping,206.0,Shiloh,L,107.87515649999841,108.3548363000009,N/A,0.5252622000116389,1.0049383000005037,105.8210076999967,108.63568089999899,110.80634329999157,112.80638379999436,2.8146732000022894,2.0000405000027968,4.063120000006165,2.170646400001715,105.30162220000057,112.80644230000325,11.58170360000804,N/A,N/A,N/A
9,SCN_101,3,5,HighReward_SimPeer,Don't like soccer,55.0,Charlie,L,118.27443140000105,118.70617199999106,N/A,0.5050946999981534,0.9368306999967899,116.24092880000535,118.988162499998,121.826819599999,123.82649999999558,2.7472336999926483,1.9996803999965778,2.897613099994487,2.8386450999969384,115.72433860000456,123.82655660000455,11.01410259999102,N/A,N/A,N/A
