,ParticipantID,Run,Condition,ConditionName,Question,QuestionNumber,peerName,left_or_right,FirstButtonPressTime,CorrectButtonPressTime,ParticipantsFirstAnswer,First_RT,Correct_RT,ItemStart,ItemEnd,FeedbackStart,FeedbackEnd,ItemDur,FeedbackDur,Real_ITI,Real_ISI,TrialStart,TrialEnd,TrialEnd_Length,FixStart,FixDur,FixEnd
0,SCN_154,4,2,LowReward_SimPeer,Weird,39.0,Shiloh,R,8.820060999999896,8.820060999999896,R,0.738446999999951,0.738446999999951,6.553824500000019,9.100120199999992,12.222642599999972,14.22286280000003,2.5462956999999733,2.000220200000058,0.9973321999998461,3.122511300000042,6.023257199999989,14.222912599999972,9.206149000000096,0.016559299999926225,5.000145599999996,5.016704899999922
1,SCN_154,4,0,LowReward_DisPeer,Like sneakers,133.0,Charlie,R,20.977522800000088,20.977522800000088,R,0.8234246000001804,0.8234246000001804,18.625314200000048,21.256125200000042,23.31000169999993,25.3093515999999,2.6308109999999942,1.9993498999999701,3.8550825999998324,2.0538653000000977,18.09812469999997,25.309397799999942,11.079553900000064,N/A,N/A,N/A
2,SCN_154,4,5,HighReward_SimPeer,Like cooking,122.0,Shiloh,R,31.070918800000072,31.070918800000072,R,0.7144355999998879,0.7144355999998879,28.8327440999999,31.358269600000085,33.77953339999999,35.77986259999989,2.5255255000001853,2.0003291999998964,2.967656300000044,2.4212522999998782,28.298071500000106,35.77990900000009,10.465143099999977,N/A,N/A,N/A
3,SCN_154,4,0,LowReward_DisPeer,Like video chatting,54.0,Charlie,L,41.67707879999989,41.67707879999989,L,0.8677563000001101,0.8677563000001101,39.28230559999997,41.961430500000006,44.18223130000001,46.18211509999992,2.6791249000000334,1.9998837999999068,2.9502688000000035,2.2207890000001953,38.75026449999996,46.18215299999997,10.39740299999994,N/A,N/A,N/A
4,SCN_154,4,0,LowReward_DisPeer,Don't like being alone,111.0,Charlie,R,52.29970359999993,52.29970359999993,R,0.5032998000001498,0.5032998000001498,50.26760039999999,52.58117620000007,56.1044844999999,58.10499069999992,2.3135758000000806,2.000506200000018,3.546389999999974,3.5232972000001155,49.749118499999895,58.10503229999995,11.918445600000041,N/A,N/A,N/A
5,SCN_154,4,4,HighReward_Computer,Like action movies,81.0,Computer,R,65.48022609999998,65.48022609999998,R,0.49247600000012426,0.49247600000012426,63.458670400000074,65.7724980999999,71.2995029000001,73.30018930000006,2.3138276999998197,2.0006863999999496,4.807421799999929,5.526993200000106,62.93231949999995,73.30023600000004,15.18936460000009,N/A,N/A,N/A
6,SCN_154,4,3,HighReward_DisPeer,Like daydreaming,127.0,Charlie,R,79.04556920000005,79.04556920000005,R,0.5993458000000373,0.5993458000000373,76.91691749999995,79.3310418000001,81.9025850999999,83.90247649999992,2.4141243000001396,1.999891400000024,3.0732535999998163,2.571531600000071,76.39317570000003,83.90252489999989,10.596723099999963,N/A,N/A,N/A
7,SCN_154,4,5,HighReward_SimPeer,Like friends,180.0,Shiloh,L,89.58874160000005,89.58874160000005,L,0.6395961999999145,0.6395961999999145,87.42155690000004,89.86742909999998,92.25518820000002,94.25511669999992,2.4458721999999398,1.9999284999998963,2.974148600000035,2.387747999999874,86.89715159999992,94.2551648000001,10.346715300000142,N/A,N/A,N/A
8,SCN_154,4,4,HighReward_Computer,Like vacations,28.0,Computer,R,102.84921480000003,102.84921480000003,R,0.942669799999976,0.942669799999976,100.37713809999991,103.14218589999996,107.26659210000003,109.2664749999999,2.7650478000000476,1.999882899999875,5.571361400000114,4.12439449999988,99.84702889999994,109.2665187,15.005700399999796,N/A,N/A,N/A
9,SCN_154,4,0,LowReward_DisPeer,Like politics,72.0,Charlie,R,114.94369540000002,114.94369540000002,R,0.9479094000000714,0.9479094000000714,112.46549120000009,115.23140899999999,118.52089999999998,120.52149110000005,2.7659177999998974,2.000591100000065,2.660974699999997,3.2894794999999704,111.94797300000005,120.52154659999997,11.24928890000001,N/A,N/A,N/A
10,SCN_154,4,5,HighReward_SimPeer,Don't like reality TV,76.0,Shiloh,L,125.21323729999995,125.21323729999995,L,0.5141461999999137,0.5141461999999137,123.17026469999996,125.50056070000005,131.17782110000007,133.17811039999992,2.3302960000000894,2.0002892999998494,2.103104399999893,5.677249099999926,122.6444378000001,133.1781562000001,12.650711199999932,N/A,N/A,N/A
11,SCN_154,4,5,HighReward_SimPeer,Like summer camp,95.0,Shiloh,L,139.40310520000003,139.40310520000003,L,0.5609640000000127,0.5609640000000127,137.31492430000003,139.69369469999992,143.8516575000001,145.85105150000004,2.378770399999894,1.9993939999999384,3.59195109999996,4.157951799999864,136.79021680000005,145.8510956,12.666933100000051,N/A,N/A,N/A
12,SCN_154,4,5,HighReward_SimPeer,Like Halloween,22.0,Shiloh,R,153.60865979999994,153.60865979999994,R,0.4898441999998795,0.4898441999998795,151.5892056,153.8868379999999,155.8738968,157.87420100000008,2.297632399999884,2.0003042000000733,5.197100700000192,1.9870474999997896,151.06901689999995,157.87424170000008,12.016984699999966,N/A,N/A,N/A
13,SCN_154,4,3,HighReward_DisPeer,Stand up for others,89.0,Charlie,L,163.1422414000001,163.1422414000001,L,0.5391141000000061,0.5391141000000061,161.07448479999994,163.42127170000003,167.41209860000004,169.4114231000001,2.3467869000000974,1.999324500000057,2.6638218999999026,3.9908156999999846,160.55810330000008,169.41146600000002,11.531268099999807,N/A,N/A,N/A
14,SCN_154,4,4,HighReward_Computer,Don't like thrift shopping,135.0,Computer,L,176.6605121,176.6605121,L,0.715836599999875,0.715836599999875,174.41579750000005,176.9465213000001,181.655389,183.65591919999997,2.5307238000000325,2.0005301999999574,4.4656023000000005,4.708857500000022,173.898103,183.65596849999997,14.238404599999967,N/A,N/A,N/A
15,SCN_154,4,2,LowReward_SimPeer,Like pop music,134.0,Shiloh,R,191.44132160000004,191.44132160000004,R,1.6708742000000711,1.6708742000000711,188.2417554000001,191.72406679999995,193.81134479999992,195.8112466,3.482311399999844,1.9999018000000888,4.040202099999988,2.0872669000000315,187.71596479999994,195.8112986000001,12.148836299999857,N/A,N/A,N/A
