,ParticipantID,Run,Condition,ConditionName,Question,QuestionNumber,peerName,left_or_right,FirstButtonPressTime,CorrectButtonPressTime,ParticipantsFirstAnswer,First_RT,Correct_RT,ItemStart,ItemEnd,FeedbackStart,FeedbackEnd,ItemDur,FeedbackDur,Real_ITI,Real_ISI,TrialStart,TrialEnd,TrialEnd_Length,FixStart,FixDur,FixEnd
0,SCN_188,3,3,HighReward_DisPeer,Like listening to music,126.0,Charlie,L,9.546626600000309,9.546626600000309,L,0.6984673999977531,0.6984673999977531,7.322661900001549,9.833303200000955,11.920535500001279,13.921284399999422,2.5106412999994063,2.0007488999981433,1.766068599998107,2.087221000001591,6.790411099998892,13.921336600000359,8.906043499999214,0.01501769999958924,5.000214600000618,5.015232300000207
1,SCN_188,3,1,LowReward_Computer,Don't like wearing PJs all day,61.0,Computer,L,21.350730800000747,21.350730800000747,L,0.5469241000027978,0.5469241000027978,19.28038480000032,21.638616500000353,24.243661299999076,26.244282399999065,2.358231700000033,2.0006210999999894,4.812354700003198,2.605034699998214,18.753309899999294,26.244342900001357,12.31653020000158,N/A,N/A,N/A
2,SCN_188,3,5,HighReward_SimPeer,Like group chats,172.0,Shiloh,L,32.14930739999909,32.14930739999909,L,0.5252421000004688,0.5252421000004688,30.09495710000192,32.442201699999714,36.04894020000211,38.04853749999893,2.3472445999977936,1.9995972999968217,3.3084066000010353,3.606727200000023,29.572389299999486,38.04858779999995,11.79882759999964,N/A,N/A,N/A
3,SCN_188,3,4,HighReward_Computer,Don't like whistling,121.0,Computer,R,44.75549150000006,44.75549150000006,R,0.5747068000018771,0.5747068000018771,42.64971610000066,45.04904770000212,50.54264229999899,52.54239719999896,2.39933160000146,1.9997548999999708,4.060971200000495,5.493582200000674,42.130428700002085,52.542448299998796,14.488380499999039,N/A,N/A,N/A
4,SCN_188,3,4,HighReward_Computer,Like phone calls,113.0,Computer,L,57.521909200000664,57.521909200000664,L,0.6507672000007005,0.6507672000007005,55.33933919999981,57.806198099999165,62.231121200002235,64.23074800000177,2.4668588999993517,1.9996267999995325,2.251158499999292,4.424911100002646,54.81432370000039,64.2307910999989,11.683632500000385,N/A,N/A,N/A
5,SCN_188,3,5,HighReward_SimPeer,Like watching movies,181.0,Shiloh,R,69.95132980000199,69.95132980000199,R,0.4900125999993179,0.4900125999993179,67.93395130000135,70.22939290000068,72.85096600000179,74.85027850000188,2.2954415999993216,1.9993125000000873,3.1519695999995747,2.621561300002213,67.40351440000086,74.85032940000019,10.613874500002566,N/A,N/A,N/A
6,SCN_188,3,0,LowReward_DisPeer,A vegan,194.0,Charlie,L,79.98067179999998,79.98067179999998,L,0.6342394999992393,0.6342394999992393,77.81617170000027,80.26479589999872,84.48937550000119,86.48881170000095,2.4486241999984486,1.9994361999997636,2.4168709000005038,4.224568100002216,77.28822099999888,86.48886259999927,11.632882900001277,N/A,N/A,N/A
7,SCN_188,3,3,HighReward_DisPeer,Don't like thrift shopping,135.0,Charlie,R,94.377754000001,94.377754000001,R,0.5041866999999911,0.5041866999999911,92.34623070000089,94.65832909999881,99.30033230000117,101.3007073000008,2.3120983999979217,2.0003749999996217,5.306873699999414,4.641991399999824,91.81664760000058,101.30075410000063,14.806236300002638,N/A,N/A,N/A
8,SCN_188,3,0,LowReward_DisPeer,Like gardening,43.0,Charlie,L,107.87934060000043,107.87934060000043,L,0.4972167999985686,0.4972167999985686,105.85248420000062,108.16680450000058,110.3376344999997,112.33715370000209,2.314320299999963,1.9995192000023962,4.012460400001146,2.1708182000002125,105.33324840000205,112.33721539999897,11.03050400000211,N/A,N/A,N/A
9,SCN_188,3,5,HighReward_SimPeer,Don't like painting nails,68.0,Shiloh,R,118.35794729999907,118.35794729999907,R,0.5396738999988884,0.5396738999988884,116.29024030000073,118.63644080000086,121.4750967,123.47537419999935,2.3462005000001227,2.0002774999993562,3.4054114999999,2.8386440000031143,115.7634500000022,123.47543000000223,11.132380199996987,N/A,N/A,N/A
10,SCN_188,3,5,HighReward_SimPeer,A happy person,138.0,Shiloh,L,130.38818270000047,130.38818270000047,L,0.6309681999991881,0.6309681999991881,128.22663680000187,130.67552839999917,136.30279990000054,138.30309560000023,2.448891599997296,2.000295699999697,4.215951099999074,5.627259699998831,127.71145160000015,138.30314709999948,14.821674499999062,N/A,N/A,N/A
