,ParticipantID,Run,Condition,ConditionName,Question,QuestionNumber,peerName,left_or_right,FirstButtonPressTime,CorrectButtonPressTime,ParticipantsFirstAnswer,First_RT,Correct_RT,ItemStart,ItemEnd,FeedbackStart,FeedbackEnd,ItemDur,FeedbackDur,Real_ITI,Real_ISI,TrialStart,TrialEnd,TrialEnd_Length,FixStart,FixDur,FixEnd,item_x,valence,item_y,rating,valence_redcap,redcap_v_task
0,SCN_158,2,2,LowReward_SimPeer,not an animal lover,1.0,Charlie,L,9.84852570000021,9.84852570000021,L,0.4477647999997316,0.4477647999997316,7.874734200000148,10.1354237999999,14.794166700000003,16.79481059999989,2.2606895999997505,2.0006438999998863,2.317929499999991,4.658731399999851,7.343848600000001,16.79485670000031,11.778023900000337,0.016569200000049,5.0002033999999185,5.0167725999999675,not an animal lover,neg,1,2.0,neg,0
1,SCN_158,2,0,LowReward_DisPeer,like checkers,105.0,Shiloh,L,23.109437900000103,23.109437900000103,L,0.4005885000001399,0.4005885000001399,21.182000400000103,23.39350999999988,25.9817022000002,27.981646700000056,2.211509599999772,1.999944499999856,3.84322740000016,2.588180299999749,20.657793200000015,27.981716100000085,11.179912000000058,,,,like checkers,pos,105,4.0,pos,0
2,SCN_158,2,5,HighReward_SimPeer,like summer,87.0,Charlie,L,33.34784459999992,33.34784459999992,L,0.8039549000000079,0.8039549000000079,31.01425300000028,33.629283300000225,38.9392213000001,40.93903739999996,2.615030299999944,1.9998160999998615,2.4909241000000293,5.309925699999894,30.49306370000022,40.93909470000017,12.951911699999982,,,,like summer,pos,87,4.0,pos,0
3,SCN_158,2,0,LowReward_DisPeer,like napping,7.0,Shiloh,L,46.22498369999994,46.22498369999994,L,0.4225697000001673,0.4225697000001673,44.276322400000026,46.50330350000013,48.55716040000016,50.55683790000012,2.2269811000001027,1.9996774999999616,2.7871405999999297,2.0538456999997834,43.74680489999992,50.55689059999986,9.612350600000354,,,,like napping,pos,7,4.0,pos,0
4,SCN_158,2,0,LowReward_DisPeer,don't like bright clothes,137.0,Shiloh,L,57.37594330000002,57.37594330000002,L,0.48656420000043,0.48656420000043,55.36317830000007,57.65745730000026,62.883918300000005,64.8837897000003,2.294279000000188,1.999871400000302,4.25827819999995,5.226447900000039,54.83587540000008,64.88384159999987,14.321371099999851,,,,don't like bright clothes,neg,137,2.0,neg,0
5,SCN_158,2,4,HighReward_Computer,good at math,140.0,Computer,R,73.24503929999992,73.24503929999992,R,0.4092510000000402,0.4092510000000402,71.30611520000002,73.53706229999989,76.40912759999992,78.40877230000024,2.230947099999866,1.9996447000003172,5.8847930000001725,2.872053000000051,70.78913169999987,78.40881990000025,13.518988900000297,,,,good at math,pos,140,4.0,pos,0
6,SCN_158,2,3,HighReward_DisPeer,don't like romance novels,52.0,Shiloh,R,83.56220740000026,83.56220740000026,R,0.6242298000001938,0.6242298000001938,81.40713899999992,83.85634879999998,85.91088519999994,87.91080550000015,2.4492098000000624,1.9999203000002128,2.4502905999997893,2.05452460000015,80.87985130000015,87.91086110000015,9.49633700000004,,,,don't like romance novels,neg,52,1.0,neg,0
7,SCN_158,2,5,HighReward_SimPeer,like short stories,4.0,Charlie,R,95.24069970000028,95.24069970000028,R,0.413833699999941,0.413833699999941,93.29758070000024,95.52813390000028,98.95123880000028,100.95162530000016,2.230553200000031,2.000386499999877,4.848179699999946,3.4230790999999954,92.77883789999989,100.95167480000008,13.035105599999952,,,,like short stories,pos,4,4.0,pos,0
8,SCN_158,2,4,HighReward_Computer,not a musician,155.0,Computer,R,106.15075160000016,106.15075160000016,R,0.5036909000000378,0.5036909000000378,104.11867630000006,106.431826,110.89017809999996,112.89017289999992,2.31314969999994,1.9999947999999677,2.626446600000236,4.458339799999976,103.59810270000024,112.89022939999997,11.932811399999991,,,,not a musician,neg,155,2.0,neg,0
9,SCN_158,2,0,LowReward_DisPeer,like candy,211.0,Shiloh,R,118.94802299999992,118.94802299999992,R,0.460341999999855,0.460341999999855,116.95619459999988,119.23901000000023,123.9645817999999,125.96397660000002,2.282815400000345,1.9993948000001185,3.523534599999948,4.725559599999997,116.43412489999992,125.9640260000001,13.067901299999903,,,,like candy,pos,211,4.0,pos,0
