"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
91,190,101,11,152,5,15,25,89,30,13,207,170,96
136,106,124,121,180,139,155,156,179,191,144,195,205,194
162,125,86,NA,140,NA,93,184,26,110,94,68,55,134
88,142,117,NA,197,NA,200,82,158,206,203,103,NA,175
35,186,40,NA,31,NA,16,10,132,123,109,64,NA,154
81,143,201,NA,111,NA,185,61,79,NA,104,NA,NA,NA
53,159,NA,NA,NA,NA,46,127,133,NA,47,NA,NA,NA
17,145,NA,NA,NA,NA,28,188,70,NA,163,NA,NA,NA
6,NA,NA,NA,NA,NA,66,NA,42,NA,171,NA,NA,NA
78,NA,NA,NA,NA,NA,1,NA,102,NA,37,NA,NA,NA
199,NA,NA,NA,NA,NA,58,NA,150,NA,33,NA,NA,NA
131,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA
148,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,NA,NA
