"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
137,43,83,82,15,169,71,127,25,117,116,207,126,129
197,45,204,41,119,98,194,26,42,131,171,151,135,18
8,58,102,NA,13,NA,172,39,96,122,22,47,168,52
205,107,118,NA,46,NA,104,2,140,77,161,177,NA,166
184,191,55,NA,29,NA,30,201,56,210,209,7,NA,195
60,145,199,NA,91,NA,76,32,50,NA,183,NA,NA,NA
1,80,NA,NA,NA,NA,208,35,134,NA,66,NA,NA,NA
81,57,NA,NA,NA,NA,37,3,162,NA,101,NA,NA,NA
114,NA,NA,NA,NA,NA,188,NA,108,NA,181,NA,NA,NA
86,NA,NA,NA,NA,NA,54,NA,103,NA,40,NA,NA,NA
180,NA,NA,NA,NA,NA,203,NA,27,NA,143,NA,NA,NA
67,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,NA,NA
152,NA,NA,NA,NA,NA,175,NA,NA,NA,NA,NA,NA,NA
