"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
94,18,183,156,21,80,208,68,44,165,67,74,202,88
139,12,16,101,99,38,140,175,86,105,120,7,10,137
147,93,118,NA,131,NA,70,28,164,134,91,11,49,52
127,106,167,NA,170,NA,66,14,114,207,146,100,NA,188
108,194,189,NA,200,NA,89,76,8,2,210,201,NA,168
58,204,169,NA,22,NA,30,166,138,NA,195,NA,NA,NA
180,151,NA,NA,NA,NA,92,121,135,NA,42,NA,NA,NA
149,190,NA,NA,NA,NA,96,191,205,NA,152,NA,NA,NA
104,NA,NA,NA,NA,NA,110,NA,40,NA,51,NA,NA,NA
85,NA,NA,NA,NA,NA,55,NA,158,NA,179,NA,NA,NA
161,NA,NA,NA,NA,NA,59,NA,142,NA,46,NA,NA,NA
153,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA
209,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA
141,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
211,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA
