"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
152,85,109,79,59,198,210,51,148,96,161,171,138,110
71,208,172,142,104,102,8,14,34,125,108,72,193,131
10,143,136,NA,113,NA,82,83,101,78,86,202,116,129
206,98,50,NA,133,NA,183,20,87,114,158,203,NA,195
123,107,128,NA,94,NA,92,204,164,27,130,150,NA,134
180,103,53,NA,157,NA,111,175,179,NA,184,NA,NA,NA
23,76,NA,NA,NA,NA,41,44,147,NA,13,NA,NA,NA
170,105,NA,NA,NA,NA,39,187,124,NA,1,NA,NA,NA
181,NA,NA,NA,NA,NA,19,NA,66,NA,28,NA,NA,NA
15,NA,NA,NA,NA,NA,186,NA,46,NA,126,NA,NA,NA
63,NA,NA,NA,NA,NA,32,NA,189,NA,209,NA,NA,NA
155,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
192,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA
