"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
71,79,29,169,148,168,199,113,175,210,140,12,184,11
146,190,136,122,197,45,50,211,73,145,33,151,10,178
144,115,209,NA,152,NA,106,46,41,186,94,160,38,123
30,105,90,NA,127,NA,188,117,67,92,126,201,NA,171
63,202,208,NA,28,NA,82,51,196,167,161,62,NA,52
69,3,34,NA,182,NA,172,124,48,NA,206,NA,NA,NA
180,194,NA,NA,NA,NA,111,137,47,NA,173,NA,NA,NA
13,191,NA,NA,NA,NA,103,80,185,NA,157,NA,NA,NA
72,NA,NA,NA,NA,NA,32,NA,118,NA,200,NA,NA,NA
59,NA,NA,NA,NA,NA,183,NA,138,NA,27,NA,NA,NA
35,NA,NA,NA,NA,NA,132,NA,36,NA,153,NA,NA,NA
15,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,NA,NA
128,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
