"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
16,184,143,155,108,196,211,20,141,74,138,154,147,57
65,77,40,56,136,118,116,153,99,58,30,106,83,124
97,43,25,NA,67,NA,200,103,158,191,46,5,140,186
95,52,10,NA,15,NA,197,3,19,134,189,110,NA,139
172,168,178,NA,193,NA,183,78,35,41,27,120,NA,105
170,175,84,NA,86,NA,156,123,79,NA,171,NA,NA,NA
121,68,NA,NA,NA,NA,96,177,62,NA,24,NA,NA,NA
144,127,NA,NA,NA,NA,59,2,90,NA,36,NA,NA,NA
148,NA,NA,NA,NA,NA,173,NA,12,NA,152,NA,NA,NA
188,NA,NA,NA,NA,NA,28,NA,69,NA,117,NA,NA,NA
137,NA,NA,NA,NA,NA,205,NA,39,NA,31,NA,NA,NA
161,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA,164,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA
