"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
14,188,129,155,107,25,118,70,23,3,147,98,109,66
172,41,90,89,6,210,19,140,76,50,143,62,29,59
116,132,136,NA,134,NA,82,53,207,165,97,179,164,153
52,141,12,NA,16,NA,170,38,4,24,10,178,NA,18
84,80,2,NA,13,NA,68,48,35,103,181,148,NA,101
122,79,151,NA,22,NA,8,120,180,NA,69,NA,NA,NA
162,174,NA,NA,NA,NA,88,195,175,NA,17,NA,NA,NA
124,204,NA,NA,NA,NA,36,102,108,NA,142,NA,NA,NA
77,NA,NA,NA,NA,NA,85,NA,193,NA,81,NA,NA,NA
196,NA,NA,NA,NA,NA,176,NA,119,NA,27,NA,NA,NA
187,NA,NA,NA,NA,NA,54,NA,156,NA,63,NA,NA,NA
198,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA
182,NA,NA,NA,NA,NA,166,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA
206,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,NA,NA
163,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA,NA
