"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
15,165,176,99,124,191,187,118,127,19,181,196,136,164
209,145,2,160,86,25,29,169,26,156,87,180,152,142
81,151,78,48,119,168,16,33,13,7,6,178,73,55
125,80,201,NA,91,NA,42,174,35,207,185,58,NA,159
193,143,144,NA,153,NA,4,93,46,150,111,133,NA,71
53,45,NA,NA,NA,NA,103,161,49,116,32,177,NA,NA
60,8,NA,NA,NA,NA,186,36,115,114,67,166,NA,NA
102,89,NA,NA,NA,NA,34,137,39,NA,63,NA,NA,NA
1,195,NA,NA,NA,NA,90,68,170,NA,126,NA,NA,NA
158,132,NA,NA,NA,NA,83,62,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
