"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
152,186,175,128,148,151,78,60,113,145,83,39,157,199
29,93,132,30,150,195,163,88,153,3,96,165,35,73
110,204,41,NA,111,NA,176,82,50,173,56,65,8,5
53,72,38,NA,33,NA,185,25,134,2,109,47,NA,64
6,207,19,NA,126,NA,122,127,94,149,10,61,NA,118
120,76,182,NA,51,NA,97,115,205,NA,171,NA,NA,NA
172,14,NA,NA,NA,NA,55,177,188,NA,183,NA,NA,NA
23,62,NA,NA,NA,NA,107,32,43,NA,85,NA,NA,NA
209,NA,NA,NA,NA,NA,123,NA,112,NA,130,NA,NA,NA
92,NA,NA,NA,NA,NA,13,NA,15,NA,27,NA,NA,NA
69,NA,NA,NA,NA,NA,101,NA,1,NA,95,NA,NA,NA
22,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA
202,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA
164,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA,NA,NA
