"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
172,202,115,71,23,129,110,25,49,193,81,114,211,183
150,45,12,60,148,207,186,65,153,78,1,101,163,178
80,134,201,NA,138,NA,92,185,47,175,161,210,200,166
22,190,128,NA,75,NA,79,206,26,103,84,2,NA,208
94,68,133,NA,51,NA,136,95,31,30,122,121,NA,102
58,112,137,NA,13,NA,39,159,147,NA,149,NA,NA,NA
116,141,NA,NA,NA,NA,145,144,192,NA,173,NA,NA,NA
180,82,NA,NA,NA,NA,48,74,99,NA,57,NA,NA,NA
203,NA,NA,NA,NA,NA,132,NA,140,NA,158,NA,NA,NA
70,NA,NA,NA,NA,NA,174,NA,36,NA,97,NA,NA,NA
14,NA,NA,NA,NA,NA,27,NA,54,NA,109,NA,NA,NA
164,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA
152,NA,NA,NA,NA,NA,209,NA,NA,NA,NA,NA,NA,NA
197,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
