"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
203,137,38,34,27,106,147,60,120,77,75,107,118,45
53,159,28,64,128,199,176,88,95,139,81,144,56,5
90,19,39,NA,32,NA,122,82,131,124,26,2,85,103
47,188,156,NA,21,NA,105,14,126,190,171,93,NA,129
22,204,72,NA,164,NA,78,61,154,195,110,206,NA,43
92,207,178,NA,25,NA,41,177,200,NA,58,NA,NA,NA
152,151,NA,NA,NA,NA,6,20,62,NA,94,NA,NA,NA
87,11,NA,NA,NA,NA,102,186,67,NA,65,NA,NA,NA
146,NA,NA,NA,NA,NA,141,NA,99,NA,10,NA,NA,NA
89,NA,NA,NA,NA,NA,74,NA,130,NA,197,NA,NA,NA
189,NA,NA,NA,NA,NA,208,NA,198,NA,109,NA,NA,NA
123,NA,NA,NA,NA,NA,143,NA,NA,NA,NA,NA,NA,NA
135,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,134,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA
