"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
116,14,167,176,130,173,203,199,113,45,86,184,126,2
39,75,169,178,115,188,11,99,15,9,209,37,91,57
162,69,132,NA,63,NA,51,149,197,198,119,206,53,161
95,66,55,NA,97,NA,73,174,41,36,180,18,NA,110
123,175,165,NA,185,NA,54,26,211,68,21,58,NA,34
100,135,107,NA,13,NA,124,117,170,NA,128,NA,NA,NA
44,88,NA,NA,NA,NA,24,139,148,NA,28,NA,NA,NA
17,105,NA,NA,NA,NA,189,84,153,NA,22,NA,NA,NA
48,NA,NA,NA,NA,NA,16,NA,125,NA,31,NA,NA,NA
164,NA,NA,NA,NA,NA,56,NA,90,NA,81,NA,NA,NA
30,NA,NA,NA,NA,NA,59,NA,6,NA,140,NA,NA,NA
67,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA
136,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA
