"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
181,205,96,209,78,12,148,115,203,110,185,175,162,151
37,159,41,120,119,98,101,5,81,13,144,6,161,90
141,168,122,NA,187,NA,52,46,105,80,69,103,50,118
147,27,172,NA,42,NA,59,153,40,142,178,43,NA,188
146,45,204,NA,22,NA,68,83,29,19,206,177,NA,132
152,2,117,NA,73,NA,180,26,137,NA,38,NA,NA,NA
58,125,NA,NA,NA,NA,112,4,10,NA,95,NA,NA,NA
133,107,NA,NA,NA,NA,47,32,63,NA,49,NA,NA,NA
76,NA,NA,NA,NA,NA,79,NA,67,NA,97,NA,NA,NA
82,NA,NA,NA,NA,NA,191,NA,150,NA,89,NA,NA,NA
174,NA,NA,NA,NA,NA,164,NA,116,NA,123,NA,NA,NA
211,NA,NA,NA,NA,NA,198,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA
170,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA
