"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
95,199,42,177,16,195,171,193,150,194,197,198,184,82
146,129,8,156,10,80,141,5,137,30,29,191,98,66
56,61,111,NA,127,NA,142,201,68,20,14,207,152,202
40,112,120,NA,2,NA,47,39,35,190,176,88,NA,103
71,107,169,NA,22,NA,122,3,62,101,46,11,NA,210
160,106,78,NA,83,NA,57,87,116,NA,158,NA,NA,NA
164,18,NA,NA,NA,NA,109,140,203,NA,54,NA,NA,NA
59,168,NA,NA,NA,NA,21,115,58,NA,75,NA,NA,NA
182,NA,NA,NA,NA,NA,44,NA,211,NA,41,NA,NA,NA
49,NA,NA,NA,NA,NA,38,NA,24,NA,25,NA,NA,NA
63,NA,NA,NA,NA,NA,31,NA,90,NA,94,NA,NA,NA
73,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA,NA,NA
153,NA,NA,NA,NA,NA,162,NA,NA,NA,NA,NA,NA,NA
175,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA
