"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
79,144,1,80,94,98,74,170,108,118,152,166,133,194
59,186,90,92,73,88,40,184,28,173,97,8,78,113
179,76,99,NA,127,NA,50,123,16,12,91,77,168,117
148,9,86,NA,211,NA,120,150,53,72,153,35,NA,178
7,2,29,NA,10,NA,161,160,102,101,69,198,NA,106
171,103,208,NA,119,NA,165,145,136,NA,22,NA,NA,NA
132,190,NA,NA,NA,NA,107,137,33,NA,47,NA,NA,NA
49,182,NA,NA,NA,NA,201,54,130,NA,71,NA,NA,NA
56,NA,NA,NA,NA,NA,62,NA,209,NA,181,NA,NA,NA
197,NA,NA,NA,NA,NA,17,NA,37,NA,55,NA,NA,NA
84,NA,NA,NA,NA,NA,116,NA,169,NA,147,NA,NA,NA
180,NA,NA,NA,NA,NA,154,NA,NA,NA,NA,NA,NA,NA
185,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,206,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA
