"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
170,73,80,135,1,11,204,102,155,85,94,18,120,21
15,205,89,53,138,72,96,48,173,93,181,169,109,115
103,201,175,NA,29,NA,186,121,84,111,126,91,157,141
146,59,38,NA,161,NA,182,87,78,47,156,2,NA,55
147,68,28,NA,134,NA,39,64,183,110,131,132,NA,143
127,191,54,NA,154,NA,106,61,31,NA,197,NA,NA,NA
34,207,NA,NA,NA,NA,9,7,98,NA,13,NA,NA,NA
113,56,NA,NA,NA,NA,19,81,49,NA,187,NA,NA,NA
41,NA,NA,NA,NA,NA,178,NA,144,NA,74,NA,NA,NA
129,NA,NA,NA,NA,NA,166,NA,50,NA,27,NA,NA,NA
150,NA,NA,NA,NA,NA,176,NA,58,NA,10,NA,NA,NA
30,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA
180,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA,NA,NA
