"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
32,45,52,73,99,12,191,71,48,178,70,200,130,143
108,38,78,69,63,187,30,148,6,46,84,21,186,175
95,128,137,NA,184,NA,56,67,169,165,110,79,82,1
170,168,162,NA,16,NA,127,177,31,181,86,114,NA,66
28,58,107,NA,35,NA,57,139,142,180,62,133,NA,131
157,11,149,NA,126,NA,80,109,43,NA,151,NA,NA,NA
140,195,NA,NA,NA,NA,198,92,117,NA,104,NA,NA,NA
135,88,NA,NA,NA,NA,18,119,93,NA,41,NA,NA,NA
138,NA,NA,NA,NA,NA,10,NA,207,NA,101,NA,NA,NA
147,NA,NA,NA,NA,NA,179,NA,192,NA,65,NA,NA,NA
163,NA,NA,NA,NA,NA,210,NA,75,NA,98,NA,NA,NA
183,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,NA,NA,NA,208,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA
