"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
146,68,16,51,15,179,24,6,67,52,26,139,23,62
149,34,159,114,209,11,44,193,37,110,32,18,84,171
119,199,19,NA,124,NA,208,186,137,2,28,92,43,61
86,135,25,NA,73,NA,178,90,182,177,185,151,NA,64
94,3,183,NA,158,NA,85,42,89,48,10,168,NA,20
27,98,29,NA,4,NA,109,5,211,NA,136,NA,NA,NA
174,195,NA,NA,NA,NA,207,176,121,NA,14,NA,NA,NA
181,191,NA,NA,NA,NA,197,102,93,NA,206,NA,NA,NA
112,NA,NA,NA,NA,NA,134,NA,201,NA,96,NA,NA,NA
104,NA,NA,NA,NA,NA,164,NA,111,NA,180,NA,NA,NA
140,NA,NA,NA,NA,NA,143,NA,100,NA,189,NA,NA,NA
1,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA
187,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA
