"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
49,175,79,48,192,12,78,88,21,56,38,24,131,161
176,194,117,20,156,191,132,188,138,157,189,165,172,34
111,77,87,NA,83,NA,67,75,185,18,168,74,150,129
179,190,96,NA,115,NA,57,61,121,120,193,141,NA,207
81,135,2,NA,10,NA,101,177,29,55,149,30,NA,90
130,51,152,NA,69,NA,42,32,105,NA,35,NA,NA,NA
33,201,NA,NA,NA,NA,169,14,4,NA,63,NA,NA,NA
15,52,NA,NA,NA,NA,16,60,84,NA,199,NA,NA,NA
140,NA,NA,NA,NA,NA,200,NA,58,NA,39,NA,NA,NA
97,NA,NA,NA,NA,NA,145,NA,27,NA,113,NA,NA,NA
180,NA,NA,NA,NA,NA,36,NA,153,NA,50,NA,NA,NA
170,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA
134,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA
184,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA
