"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
209,183,69,110,94,2,23,197,158,151,147,166,45,38
6,9,26,105,152,123,165,111,155,137,35,191,14,179
47,168,4,NA,51,NA,91,119,79,120,135,175,185,5
55,145,40,NA,211,NA,54,60,19,107,156,103,NA,82
182,61,16,NA,126,NA,17,184,146,205,136,173,NA,76
97,167,59,NA,150,NA,139,177,115,NA,162,NA,NA,NA
192,80,NA,NA,NA,NA,195,96,104,NA,31,NA,NA,NA
108,194,NA,NA,NA,NA,100,20,200,NA,176,NA,NA,NA
122,NA,NA,NA,NA,NA,78,NA,24,NA,169,NA,NA,NA
99,NA,NA,NA,NA,NA,70,NA,189,NA,128,NA,NA,NA
140,NA,NA,NA,NA,NA,53,NA,86,NA,27,NA,NA,NA
149,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA
181,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,206,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA
174,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA
