"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
53,27,178,19,127,198,73,20,192,183,97,106,70,165
14,7,137,25,111,172,71,83,69,68,108,190,63,200
145,11,162,NA,119,NA,15,61,21,159,138,191,104,205
197,107,193,NA,211,NA,87,115,208,204,54,57,NA,4
185,166,9,NA,95,NA,147,140,105,129,160,173,NA,201
135,45,151,NA,60,NA,110,32,170,NA,189,NA,NA,NA
203,168,NA,NA,NA,NA,28,96,195,NA,124,NA,NA,NA
82,64,NA,NA,NA,NA,154,85,65,NA,109,NA,NA,NA
126,NA,NA,NA,NA,NA,81,NA,146,NA,123,NA,NA,NA
38,NA,NA,NA,NA,NA,58,NA,180,NA,91,NA,NA,NA
1,NA,NA,NA,NA,NA,112,NA,128,NA,163,NA,NA,NA
134,NA,NA,NA,NA,NA,196,NA,NA,NA,NA,NA,NA,NA
144,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA
152,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,179,NA,NA,NA,NA,NA,NA,NA
