"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
153,145,92,51,69,78,190,127,104,142,63,12,96,72
193,90,44,76,22,135,24,88,211,6,100,9,70,155
203,41,129,NA,75,NA,16,82,182,207,167,119,202,43
131,194,174,NA,156,NA,54,188,209,110,180,32,NA,57
170,27,112,NA,146,NA,138,115,173,201,86,48,NA,151
122,93,55,NA,150,NA,59,186,164,NA,172,NA,NA,NA
25,210,NA,NA,NA,NA,99,85,108,NA,166,NA,NA,NA
152,29,NA,NA,NA,NA,196,10,42,NA,13,NA,NA,NA
67,NA,NA,NA,NA,NA,1,NA,181,NA,130,NA,NA,NA
161,NA,NA,NA,NA,NA,157,NA,62,NA,133,NA,NA,NA
50,NA,NA,NA,NA,NA,66,NA,140,NA,139,NA,NA,NA
134,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,NA
192,NA,NA,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,NA
