"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
157,72,112,12,13,184,90,39,44,26,55,58,24,129
192,52,125,80,27,210,147,102,53,83,47,154,156,76
89,93,41,NA,111,NA,199,200,109,101,95,173,150,132
161,171,127,NA,172,NA,97,118,140,57,187,207,NA,137
138,29,17,NA,31,NA,21,69,195,92,201,186,NA,103
149,98,78,NA,131,NA,152,4,105,NA,134,NA,NA,NA
85,179,NA,NA,NA,NA,141,30,128,NA,25,NA,NA,NA
136,159,NA,NA,NA,NA,115,38,176,NA,110,NA,NA,NA
63,NA,NA,NA,NA,NA,74,NA,1,NA,197,NA,NA,NA
133,NA,NA,NA,NA,NA,36,NA,71,NA,14,NA,NA,NA
99,NA,NA,NA,NA,NA,148,NA,144,NA,163,NA,NA,NA
86,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA
189,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA
