"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
108,43,79,129,104,50,14,177,154,2,208,19,184,103
29,168,161,137,10,42,69,143,7,20,41,72,109,202
54,186,117,NA,131,NA,25,67,197,199,27,149,152,78
181,169,26,NA,157,NA,123,76,111,91,211,120,NA,160
31,45,171,NA,96,NA,75,51,18,16,86,77,NA,121
147,167,135,NA,113,NA,60,185,63,NA,100,NA,NA,NA
87,207,NA,NA,NA,NA,36,146,74,NA,34,NA,NA,NA
97,196,NA,NA,NA,NA,125,90,140,NA,174,NA,NA,NA
200,NA,NA,NA,NA,NA,85,NA,163,NA,99,NA,NA,NA
35,NA,NA,NA,NA,NA,118,NA,37,NA,73,NA,NA,NA
170,NA,NA,NA,NA,NA,144,NA,70,NA,95,NA,NA,NA
30,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,NA,NA,NA
153,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA
