"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
99,132,129,81,31,8,118,107,51,3,112,205,22,162
202,137,188,113,187,155,11,32,126,12,77,71,42,183
150,93,7,NA,180,NA,85,172,121,127,84,171,192,135
156,76,185,NA,111,NA,75,117,152,149,186,63,NA,50
147,4,103,NA,94,NA,144,34,90,79,189,39,NA,104
206,26,200,NA,193,NA,199,142,19,NA,160,NA,NA,NA
95,58,NA,NA,NA,NA,168,44,209,NA,88,NA,NA,NA
87,207,NA,NA,NA,NA,184,179,115,NA,69,NA,NA,NA
211,NA,NA,NA,NA,NA,62,NA,108,NA,37,NA,NA,NA
141,NA,NA,NA,NA,NA,140,NA,96,NA,92,NA,NA,NA
170,NA,NA,NA,NA,NA,151,NA,83,NA,176,NA,NA,NA
56,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA
153,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,166,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,NA,NA
