"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
49,114,17,89,130,80,103,32,22,106,47,57,108,139
58,194,74,82,140,43,97,197,28,190,13,26,3,154
111,11,124,NA,115,NA,41,180,153,54,183,52,100,64
71,151,75,NA,211,NA,23,156,104,142,172,8,NA,127
10,14,120,NA,86,NA,157,188,149,200,193,68,NA,40
31,9,167,NA,187,NA,109,184,128,NA,79,NA,NA,NA
90,135,NA,NA,NA,NA,59,20,53,NA,163,NA,NA,NA
1,60,NA,NA,NA,NA,133,148,147,NA,176,NA,NA,NA
72,NA,NA,NA,NA,NA,7,NA,144,NA,113,NA,NA,NA
146,NA,NA,NA,NA,NA,70,NA,51,NA,118,NA,NA,NA
209,NA,NA,NA,NA,NA,87,NA,37,NA,123,NA,NA,NA
174,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
136,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
