"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
193,194,129,160,21,134,124,187,95,101,126,199,31,64
195,45,166,67,150,107,17,61,171,200,63,145,49,121
138,62,68,NA,60,NA,26,32,179,190,105,110,2,7
40,201,184,NA,148,NA,23,125,169,146,35,191,NA,137
46,168,132,NA,33,NA,198,177,76,159,74,5,NA,143
78,98,82,NA,86,NA,100,14,27,NA,183,NA,NA,NA
92,207,NA,NA,NA,NA,102,20,153,NA,103,NA,NA,NA
157,106,NA,NA,NA,NA,56,140,42,NA,123,NA,NA,NA
47,NA,NA,NA,NA,NA,44,NA,8,NA,197,NA,NA,NA
135,NA,NA,NA,NA,NA,16,NA,10,NA,96,NA,NA,NA
136,NA,NA,NA,NA,NA,6,NA,205,NA,108,NA,NA,NA
176,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,181,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA,NA
133,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA
206,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA,NA,NA
