"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
117,18,10,100,53,104,171,177,183,105,211,43,25,129
202,98,32,110,173,204,205,52,81,95,71,137,163,93
1,175,57,NA,197,NA,132,159,136,190,31,154,8,5
34,59,127,NA,119,NA,62,179,63,76,90,9,NA,169
4,124,176,NA,134,NA,198,60,138,107,188,70,NA,45
139,40,27,NA,133,NA,88,186,130,NA,147,NA,NA,NA
164,39,NA,NA,NA,NA,21,118,153,NA,23,NA,NA,NA
112,68,NA,NA,NA,NA,89,108,114,NA,29,NA,NA,NA
193,NA,NA,NA,NA,NA,152,NA,54,NA,87,NA,NA,NA
42,NA,NA,NA,NA,NA,184,NA,113,NA,158,NA,NA,NA
33,NA,NA,NA,NA,NA,97,NA,28,NA,131,NA,NA,NA
22,NA,NA,NA,NA,NA,187,NA,NA,NA,NA,NA,NA,NA
148,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,NA
