"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
29,38,154,117,31,106,97,61,63,204,185,19,143,158
75,11,165,20,125,183,87,186,3,174,83,8,59,166
77,207,178,NA,69,NA,16,25,200,58,96,43,84,53
110,45,74,NA,152,NA,55,82,161,168,176,175,NA,56
131,199,39,NA,127,NA,36,32,33,135,109,159,NA,2
163,7,134,NA,89,NA,162,177,40,NA,149,NA,NA,NA
79,76,NA,NA,NA,NA,68,111,49,NA,124,NA,NA,NA
50,52,NA,NA,NA,NA,101,188,47,NA,93,NA,NA,NA
167,NA,NA,NA,NA,NA,138,NA,81,NA,42,NA,NA,NA
94,NA,NA,NA,NA,NA,6,NA,28,NA,141,NA,NA,NA
108,NA,NA,NA,NA,NA,208,NA,119,NA,35,NA,NA,NA
181,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA
180,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA
