"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
97,117,140,79,104,134,124,101,71,204,34,98,86,200
181,168,69,205,185,76,113,64,162,137,133,159,22,110
118,166,169,NA,180,NA,153,177,36,70,111,6,75,167
123,145,2,NA,33,NA,142,198,28,32,211,59,NA,160
121,203,12,NA,25,NA,191,82,126,90,148,210,NA,61
108,190,51,NA,100,NA,183,176,65,NA,135,NA,NA,NA
1,194,NA,NA,NA,NA,23,116,154,NA,139,NA,NA,NA
164,45,NA,NA,NA,NA,186,16,103,NA,112,NA,NA,NA
17,NA,NA,NA,NA,NA,39,NA,99,NA,115,NA,NA,NA
48,NA,NA,NA,NA,NA,9,NA,27,NA,7,NA,NA,NA
10,NA,NA,NA,NA,NA,68,NA,156,NA,37,NA,NA,NA
78,NA,NA,NA,NA,NA,179,NA,NA,NA,NA,NA,NA,NA
196,NA,NA,NA,NA,NA,206,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,NA
149,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA
208,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA
