"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
87,145,154,84,130,19,6,32,150,190,15,132,124,3
75,159,39,177,152,91,153,125,192,166,97,64,198,90
174,107,51,NA,164,NA,157,27,44,72,113,205,48,112
70,82,117,NA,111,NA,105,188,209,179,29,78,NA,35
158,129,184,NA,88,NA,37,128,66,207,68,210,NA,43
59,92,106,NA,146,NA,73,20,46,NA,103,NA,NA,NA
169,57,NA,NA,NA,NA,141,61,34,NA,26,NA,NA,NA
175,115,NA,NA,NA,NA,53,186,118,NA,89,NA,NA,NA
122,NA,NA,NA,NA,NA,144,NA,134,NA,63,NA,NA,NA
33,NA,NA,NA,NA,NA,202,NA,114,NA,38,NA,NA,NA
160,NA,NA,NA,NA,NA,74,NA,148,NA,201,NA,NA,NA
172,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA
185,NA,NA,NA,NA,NA,182,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
193,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA
