"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
54,12,168,103,84,144,134,58,209,8,179,194,192,92
73,190,102,46,31,121,38,87,176,195,17,141,37,55
21,114,105,NA,186,NA,67,57,111,201,180,139,153,3
70,44,10,NA,132,NA,71,157,163,151,131,9,NA,110
85,104,115,NA,33,NA,29,51,159,62,171,183,NA,210
15,145,136,NA,86,NA,208,161,48,NA,174,NA,NA,NA
206,207,NA,NA,NA,NA,185,34,108,NA,181,NA,NA,NA
75,16,NA,NA,NA,NA,154,43,50,NA,28,NA,NA,NA
52,NA,NA,NA,NA,NA,41,NA,32,NA,193,NA,NA,NA
138,NA,NA,NA,NA,NA,4,NA,7,NA,99,NA,NA,NA
169,NA,NA,NA,NA,NA,83,NA,133,NA,74,NA,NA,NA
1,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,182,NA,NA,NA,NA,NA,NA,NA
130,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA
187,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
