"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
39,138,60,93,189,88,209,171,94,162,130,199,161,172
185,188,42,58,148,154,27,95,146,109,6,98,196,184
186,52,101,NA,99,NA,183,143,19,45,78,8,49,168
63,36,210,NA,84,NA,83,65,97,100,124,54,NA,147
104,55,200,NA,90,NA,29,85,180,76,67,53,NA,25
38,110,169,NA,118,NA,153,160,197,NA,165,NA,NA,NA
150,62,NA,NA,NA,NA,69,11,131,NA,158,NA,NA,NA
75,142,NA,NA,NA,NA,117,44,157,NA,21,NA,NA,NA
79,NA,NA,NA,NA,NA,132,NA,116,NA,139,NA,NA,NA
81,NA,NA,NA,NA,NA,159,NA,30,NA,71,NA,NA,NA
41,NA,NA,NA,NA,NA,208,NA,47,NA,149,NA,NA,NA
206,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
176,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,NA,NA,NA,179,NA,NA,NA,NA,NA,NA,NA
