"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
81,7,23,11,34,145,56,20,171,178,147,155,65,106
29,161,53,61,46,154,38,101,35,76,22,88,140,117
133,201,26,NA,193,NA,170,125,116,142,91,52,200,205
77,107,202,NA,87,NA,186,93,51,47,189,8,NA,165
197,144,206,NA,185,NA,153,25,44,210,21,110,NA,123
89,188,163,NA,28,NA,183,19,138,NA,108,NA,NA,NA
15,204,NA,NA,NA,NA,10,103,67,NA,195,NA,NA,NA
124,12,NA,NA,NA,NA,179,167,131,NA,54,NA,NA,NA
152,NA,NA,NA,NA,NA,209,NA,141,NA,43,NA,NA,NA
33,NA,NA,NA,NA,NA,39,NA,17,NA,85,NA,NA,NA
42,NA,NA,NA,NA,NA,83,NA,102,NA,59,NA,NA,NA
75,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,184,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,NA,NA,NA,207,NA,NA,NA,NA,NA,NA,NA
