"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
141,80,69,67,49,163,175,61,113,43,89,64,55,204
130,132,56,5,192,207,93,20,24,115,180,191,34,190
133,92,129,NA,27,NA,171,10,193,202,166,210,149,142
77,57,186,NA,136,NA,38,95,81,106,156,2,NA,178
14,88,188,NA,146,NA,109,85,125,160,128,159,NA,102
139,39,107,NA,32,NA,23,29,119,NA,153,NA,NA,NA
90,183,NA,NA,NA,NA,37,82,170,NA,185,NA,NA,NA
165,45,NA,NA,NA,NA,99,177,40,NA,167,NA,NA,NA
36,NA,NA,NA,NA,NA,76,NA,197,NA,110,NA,NA,NA
134,NA,NA,NA,NA,NA,58,NA,173,NA,172,NA,NA,NA
91,NA,NA,NA,NA,NA,54,NA,66,NA,46,NA,NA,NA
116,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,162,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA
