"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
149,117,81,197,148,85,78,55,39,144,14,194,34,83
102,27,122,36,13,25,62,110,23,156,118,173,35,210
203,121,105,NA,126,NA,123,159,94,86,211,53,67,11
138,202,140,NA,146,NA,1,181,115,66,145,58,NA,69
22,166,172,NA,107,NA,19,196,137,98,42,151,NA,134
91,162,10,NA,74,NA,68,92,139,NA,158,NA,NA,NA
76,45,NA,NA,NA,NA,182,47,111,NA,30,NA,NA,NA
130,155,NA,NA,NA,NA,50,176,131,NA,124,NA,NA,NA
97,NA,NA,NA,NA,NA,2,NA,48,NA,33,NA,NA,NA
93,NA,NA,NA,NA,NA,178,NA,89,NA,49,NA,NA,NA
163,NA,NA,NA,NA,NA,46,NA,164,NA,161,NA,NA,NA
28,NA,NA,NA,NA,NA,206,NA,NA,NA,NA,NA,NA,NA
170,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,167,NA,NA,NA,NA,NA,NA,NA
