"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
185,82,195,135,13,191,110,102,65,17,148,3,83,72
180,92,74,159,141,183,98,11,203,120,143,16,91,210
171,8,29,NA,170,NA,80,132,157,202,66,78,181,173
196,198,166,NA,211,NA,116,39,205,151,184,88,NA,207
136,114,34,NA,113,NA,190,81,57,112,100,27,NA,19
156,186,9,NA,123,NA,189,129,153,NA,44,NA,NA,NA
127,105,NA,NA,NA,NA,93,55,164,NA,133,NA,NA,NA
63,18,NA,NA,NA,NA,165,32,152,NA,69,NA,NA,NA
15,NA,NA,NA,NA,NA,60,NA,150,NA,101,NA,NA,NA
174,NA,NA,NA,NA,NA,84,NA,140,NA,89,NA,NA,NA
99,NA,NA,NA,NA,NA,117,NA,87,NA,67,NA,NA,NA
30,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,NA,NA
208,NA,NA,NA,NA,NA,175,NA,NA,NA,NA,NA,NA,NA
154,NA,NA,NA,NA,NA,206,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA,NA
