"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
109,207,169,91,187,161,162,197,31,114,201,57,133,107
185,17,196,190,96,80,135,140,116,205,84,9,11,45
174,173,167,NA,126,NA,78,125,136,27,157,179,192,117
46,204,123,NA,51,NA,42,20,59,202,119,52,NA,64
128,145,156,NA,111,NA,104,184,141,198,35,168,NA,106
152,72,12,NA,186,NA,4,25,6,NA,178,NA,NA,NA
10,160,NA,NA,NA,NA,36,61,189,NA,120,NA,NA,NA
97,165,NA,NA,NA,NA,28,177,73,NA,83,NA,NA,NA
76,NA,NA,NA,NA,NA,100,NA,150,NA,15,NA,NA,NA
175,NA,NA,NA,NA,NA,110,NA,29,NA,44,NA,NA,NA
92,NA,NA,NA,NA,NA,170,NA,144,NA,13,NA,NA,NA
180,NA,NA,NA,NA,NA,182,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA
147,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA
