"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
152,195,165,58,180,191,173,29,162,98,66,121,139,177
31,179,56,155,82,78,122,33,123,190,146,129,202,80
172,204,143,NA,115,NA,102,60,92,103,22,16,75,198
21,68,77,NA,130,NA,35,125,154,12,81,145,NA,2
200,88,52,NA,211,NA,91,184,49,61,24,76,NA,41
13,8,128,NA,94,NA,141,186,7,NA,27,NA,NA,NA
23,93,NA,NA,NA,NA,193,188,137,NA,67,NA,NA,NA
100,18,NA,NA,NA,NA,84,20,148,NA,196,NA,NA,NA
54,NA,NA,NA,NA,NA,112,NA,109,NA,187,NA,NA,NA
17,NA,NA,NA,NA,NA,181,NA,46,NA,44,NA,NA,NA
174,NA,NA,NA,NA,NA,74,NA,147,NA,37,NA,NA,NA
6,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA
149,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA
160,NA,NA,NA,NA,NA,171,NA,NA,NA,NA,NA,NA,NA
131,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA
