"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
91,102,19,160,133,92,78,209,182,204,32,34,158,136
100,39,42,137,124,2,122,27,154,110,77,141,181,132
54,105,50,NA,89,NA,43,38,22,145,83,106,66,93
157,112,172,NA,37,NA,74,174,51,171,113,125,NA,114
164,55,81,NA,193,NA,72,29,163,151,155,188,NA,186
85,16,159,NA,4,NA,53,10,13,NA,148,NA,NA,NA
200,194,NA,NA,NA,NA,175,129,101,NA,198,NA,NA,NA
59,41,NA,NA,NA,NA,14,44,24,NA,147,NA,NA,NA
76,NA,NA,NA,NA,NA,167,NA,111,NA,170,NA,NA,NA
94,NA,NA,NA,NA,NA,206,NA,108,NA,161,NA,NA,NA
197,NA,NA,NA,NA,NA,18,NA,138,NA,1,NA,NA,NA
57,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA
179,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA
180,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
