"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
28,68,198,165,77,45,130,60,95,166,46,154,33,16
180,207,39,199,78,40,171,14,115,118,82,175,138,160
152,155,106,NA,24,NA,193,144,104,174,123,75,48,105
50,170,85,NA,148,NA,159,9,146,142,109,190,NA,147
203,205,137,NA,13,NA,168,64,185,129,136,188,NA,113
200,8,145,NA,163,NA,47,101,209,NA,69,NA,NA,NA
27,88,NA,NA,NA,NA,73,96,156,NA,67,NA,NA,NA
21,184,NA,NA,NA,NA,112,65,124,NA,211,NA,NA,NA
23,NA,NA,NA,NA,NA,81,NA,15,NA,91,NA,NA,NA
53,NA,NA,NA,NA,NA,121,NA,54,NA,35,NA,NA,NA
58,NA,NA,NA,NA,NA,55,NA,135,NA,4,NA,NA,NA
126,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA
172,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA
