"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
48,16,8,71,14,76,109,186,163,191,108,102,147,30
86,151,29,116,211,167,43,27,21,112,10,80,118,210
206,190,72,NA,136,NA,203,88,95,12,7,36,3,178
34,194,69,NA,156,NA,35,20,96,176,180,177,NA,169
162,2,45,NA,33,NA,67,125,100,198,113,183,NA,98
104,179,117,NA,94,NA,202,75,1,NA,181,NA,NA,NA
119,155,NA,NA,NA,NA,196,32,152,NA,208,NA,NA,NA
148,142,NA,NA,NA,NA,185,61,120,NA,39,NA,NA,NA
97,NA,NA,NA,NA,NA,15,NA,143,NA,13,NA,NA,NA
74,NA,NA,NA,NA,NA,90,NA,182,NA,24,NA,NA,NA
199,NA,NA,NA,NA,NA,37,NA,184,NA,87,NA,NA,NA
99,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA
134,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,NA
