"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
131,44,107,47,181,12,209,88,1,36,38,75,111,34
86,175,139,167,158,168,136,199,31,103,147,16,83,66
6,7,70,NA,109,NA,208,198,24,114,144,191,95,11
63,143,2,NA,53,NA,137,62,78,115,116,192,NA,68
127,166,33,NA,153,NA,29,176,81,154,133,182,NA,196
183,55,152,NA,49,NA,160,13,30,NA,58,NA,NA,NA
180,57,NA,NA,NA,NA,104,101,170,NA,72,NA,NA,NA
117,40,NA,NA,NA,NA,145,9,148,NA,134,NA,NA,NA
146,NA,NA,NA,NA,NA,90,NA,164,NA,140,NA,NA,NA
82,NA,NA,NA,NA,NA,10,NA,193,NA,50,NA,NA,NA
159,NA,NA,NA,NA,NA,207,NA,211,NA,163,NA,NA,NA
113,NA,NA,NA,NA,NA,188,NA,NA,NA,NA,NA,NA,NA
156,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA
