"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
88,166,27,130,3,72,28,18,174,26,35,144,164,11
17,60,125,171,150,106,25,182,185,10,57,32,152,61
55,167,85,NA,53,NA,121,65,209,210,100,78,43,98
58,129,69,NA,156,NA,81,157,87,142,15,23,NA,153
22,201,21,NA,140,NA,102,172,141,205,202,29,NA,2
114,204,101,NA,1,NA,116,110,54,NA,197,NA,NA,NA
89,120,NA,NA,NA,NA,104,68,138,NA,193,NA,NA,NA
6,190,NA,NA,NA,NA,162,79,94,NA,109,NA,NA,NA
13,NA,NA,NA,NA,NA,82,NA,99,NA,148,NA,NA,NA
86,NA,NA,NA,NA,NA,189,NA,170,NA,56,NA,NA,NA
146,NA,NA,NA,NA,NA,70,NA,128,NA,71,NA,NA,NA
155,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA,198,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,NA,NA,NA,207,NA,NA,NA,NA,NA,NA,NA
