"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
138,62,198,118,133,195,170,66,46,201,131,9,87,160
35,205,190,58,90,145,162,77,26,157,197,106,181,52
192,36,168,NA,193,NA,88,206,185,78,146,85,22,2
4,166,143,NA,28,NA,159,114,150,161,48,72,NA,18
137,19,63,NA,172,NA,105,100,108,147,86,59,NA,155
211,53,40,NA,203,NA,27,171,75,NA,11,NA,NA,NA
54,187,NA,NA,NA,NA,10,23,60,NA,1,NA,NA,NA
69,188,NA,NA,NA,NA,30,104,6,NA,13,NA,NA,NA
32,NA,NA,NA,NA,NA,210,NA,89,NA,156,NA,NA,NA
39,NA,NA,NA,NA,NA,29,NA,74,NA,31,NA,NA,NA
126,NA,NA,NA,NA,NA,179,NA,97,NA,180,NA,NA,NA
174,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA
140,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,208,NA,NA,NA,NA,NA,NA,NA
134,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA
