"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
158,102,62,32,54,118,66,83,79,58,137,170,60,191
148,190,117,7,99,59,95,151,113,18,132,12,111,204
180,57,106,NA,138,NA,42,39,8,199,74,30,67,127
94,120,207,NA,152,NA,149,208,131,175,130,135,NA,88
65,198,93,NA,22,NA,37,105,197,129,108,27,NA,201
123,98,140,NA,11,NA,171,124,28,NA,185,NA,NA,NA
19,166,NA,NA,NA,NA,184,10,110,NA,41,NA,NA,NA
35,210,NA,NA,NA,NA,115,29,51,NA,112,NA,NA,NA
157,NA,NA,NA,NA,NA,202,NA,97,NA,205,NA,NA,NA
192,NA,NA,NA,NA,NA,72,NA,17,NA,70,NA,NA,NA
73,NA,NA,NA,NA,NA,206,NA,44,NA,161,NA,NA,NA
172,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA,NA,NA
174,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
139,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA
163,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA
155,NA,NA,NA,NA,NA,188,NA,NA,NA,NA,NA,NA,NA
