"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
100,154,114,139,105,8,156,208,26,18,164,43,65,175
67,93,183,127,174,204,123,60,205,107,189,124,179,118
35,98,120,NA,182,NA,47,117,24,125,135,90,155,191
27,29,137,NA,85,NA,196,41,153,68,42,76,NA,4
81,143,59,NA,15,NA,70,45,188,84,121,173,NA,80
172,190,9,NA,94,NA,132,166,53,NA,38,NA,NA,NA
193,186,NA,NA,NA,NA,187,10,91,NA,152,NA,NA,NA
78,159,NA,NA,NA,NA,148,32,33,NA,126,NA,NA,NA
141,NA,NA,NA,NA,NA,55,NA,162,NA,181,NA,NA,NA
158,NA,NA,NA,NA,NA,28,NA,119,NA,211,NA,NA,NA
170,NA,NA,NA,NA,NA,109,NA,161,NA,203,NA,NA,NA
163,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA
138,NA,NA,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA,NA
