"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
31,11,52,166,94,82,187,130,71,9,122,154,113,59
172,194,195,132,108,57,198,121,126,12,78,68,47,16
23,191,56,NA,34,NA,96,40,53,196,49,175,54,101
99,199,77,NA,161,NA,26,70,51,165,103,206,NA,45
95,179,183,NA,33,NA,167,112,193,58,67,106,NA,186
41,190,92,NA,100,NA,46,114,188,NA,118,NA,NA,NA
13,80,NA,NA,NA,NA,17,159,119,NA,211,NA,NA,NA
164,205,NA,NA,NA,NA,84,42,116,NA,18,NA,NA,NA
153,NA,NA,NA,NA,NA,30,NA,162,NA,169,NA,NA,NA
29,NA,NA,NA,NA,NA,184,NA,128,NA,174,NA,NA,NA
124,NA,NA,NA,NA,NA,19,NA,63,NA,7,NA,NA,NA
163,NA,NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,NA
148,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA
176,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA
138,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA,NA
