"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
49,25,131,16,189,72,50,86,84,90,116,125,147,45
63,75,115,27,58,55,88,145,35,110,47,103,146,82
179,186,85,NA,187,NA,42,150,65,93,158,137,74,78
21,175,112,NA,134,NA,37,77,30,144,206,204,NA,10
180,12,83,NA,70,NA,7,73,181,39,118,31,NA,66
157,98,113,NA,100,NA,32,52,176,NA,197,NA,NA,NA
169,170,NA,NA,NA,NA,11,60,40,NA,136,NA,NA,NA
171,76,NA,NA,NA,NA,202,2,109,NA,161,NA,NA,NA
22,NA,NA,NA,NA,NA,183,NA,54,NA,149,NA,NA,NA
128,NA,NA,NA,NA,NA,6,NA,152,NA,148,NA,NA,NA
28,NA,NA,NA,NA,NA,18,NA,23,NA,156,NA,NA,NA
24,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA
172,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA,NA,NA
