"agree_pos_sim","agree_neg_sim","disagree_pos_sim","disagree_neg_sim","agree_pos_dis","agree_neg_dis","disagree_pos_dis","disagree_neg_dis","agree_pos_comp","agree_neg_comp","disagree_pos_comp","disagree_neg_comp","pos_practice","neg_practice"
148,39,89,188,165,202,78,57,74,104,113,2,21,35
69,187,143,125,34,96,114,60,85,178,189,201,120,173
38,194,118,NA,147,NA,169,171,110,95,140,162,18,84
142,9,170,NA,49,NA,159,136,206,75,123,31,NA,46
180,117,14,NA,109,NA,81,101,192,98,65,152,NA,103
203,115,88,NA,23,NA,42,166,22,NA,100,NA,NA,NA
93,25,NA,NA,NA,NA,37,158,4,NA,211,NA,NA,NA
33,66,NA,NA,NA,NA,92,184,1,NA,111,NA,NA,NA
199,NA,NA,NA,NA,NA,102,NA,155,NA,181,NA,NA,NA
105,NA,NA,NA,NA,NA,16,NA,196,NA,149,NA,NA,NA
10,NA,NA,NA,NA,NA,210,NA,116,NA,24,NA,NA,NA
40,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA
