,ParticipantID,Run,Condition,ConditionName,Question,QuestionNumber,peerName,left_or_right,FirstButtonPressTime,CorrectButtonPressTime,ParticipantsFirstAnswer,First_RT,Correct_RT,ItemStart,ItemEnd,FeedbackStart,FeedbackEnd,ItemDur,FeedbackDur,Real_ITI,Real_ISI,TrialStart,TrialEnd,TrialEnd_Length,FixStart,FixDur,FixEnd,item_x,valence,item_y,rating,valence_redcap,redcap_v_task
0,SCN_141,2,2,LowReward_SimPeer,not a good student,150.0,Shiloh,L,10.107430999999906,10.107430999999906,L,0.7067037000001619,0.7067037000001619,7.875103899999885,10.38587460000008,15.044570099999872,17.04517990000022,2.5107707000001938,2.0006098000003476,2.3178673000002163,4.658683699999983,7.343761200000245,17.045227500000237,12.02898129999994,0.0165606999998999,4.999628500000199,5.016189200000099,not a good student,neg,150,2,neg,0
1,SCN_141,2,0,LowReward_DisPeer,like meditating,8.0,Charlie,R,23.337578499999836,23.337578499999836,R,0.6287036999997326,0.6287036999997326,21.18200220000017,23.62729369999988,26.21541699999989,28.214934000000085,2.445291499999712,1.9995170000001965,3.5835707999999613,2.5881125000000793,20.6484989999999,28.21498389999988,11.163099500000044,,,,like meditating,pos,8,4,pos,0
2,SCN_141,2,5,HighReward_SimPeer,like social media,17.0,Shiloh,L,33.159420299999965,33.159420299999965,L,0.6155909000003703,0.6155909000003703,31.015478499999972,33.44550470000013,38.75540790000014,40.75504550000005,2.4300262000001567,1.9996375999999143,2.2630592999998953,5.309891599999901,30.498858400000245,40.75509999999986,12.534680600000229,,,,like social media,pos,17,5,pos,0
3,SCN_141,2,0,LowReward_DisPeer,like the movies,97.0,Charlie,L,46.29255760000024,46.29255760000024,L,0.4902329000001373,0.4902329000001373,44.2750546000002,46.569972100000086,48.623821300000145,50.62318319999986,2.294917499999883,1.9993618999997125,2.9753826000001027,2.0538377000002583,43.75121420000005,50.62323060000017,9.862711899999796,,,,like the movies,pos,97,4,pos,0
4,SCN_141,2,0,LowReward_DisPeer,don't like playing piano,88.0,Charlie,R,57.69874149999987,57.69874149999987,R,0.8095164999999724,0.8095164999999724,55.36256110000022,57.99125700000013,63.21768950000023,65.21724440000025,2.6286958999999115,1.999554900000021,4.1909169000000475,5.226421100000152,54.83510630000001,65.2172928,14.588505899999744,,,,don't like playing piano,neg,88,1,neg,0
5,SCN_141,2,4,HighReward_Computer,like texting,147.0,Computer,R,73.53619669999989,73.53619669999989,R,0.6838864999999714,0.6838864999999714,71.32513019999988,73.82072289999996,76.69280170000002,78.69208500000013,2.4955927000000884,1.9992833000001156,5.562077800000225,2.8720673000002535,70.8001918,78.69213230000014,13.469308300000192,,,,like texting,pos,147,5,pos,0
6,SCN_141,2,3,HighReward_DisPeer,don't like birds,174.0,Charlie,L,83.53377619999992,83.53377619999992,L,0.5960046999998667,0.5960046999998667,81.40794929999993,83.82272310000008,85.87657609999997,87.8768226000002,2.414773800000148,2.0002465000002303,2.175496000000294,2.053841700000248,80.88869169999998,87.87686540000004,9.178793299999596,,,,don't like birds,neg,174,2,neg,0
7,SCN_141,2,5,HighReward_SimPeer,like listening to music,126.0,Shiloh,R,95.43547489999992,95.43547489999992,R,0.6089092000001983,0.6089092000001983,93.29869599999984,95.72824609999998,99.15132300000003,101.15121709999994,2.4295501000001423,1.999894099999892,4.877057400000012,3.423065100000258,92.77405940000016,101.15126340000006,13.268571399999928,,,,like listening to music,pos,126,4,pos,0
8,SCN_141,2,4,HighReward_Computer,not a vegan,194.0,Computer,R,106.10562359999994,106.10562359999994,R,0.4588667000002715,0.4588667000002715,104.11753649999991,106.39811520000012,110.85650399999986,112.85658700000022,2.2805787000002056,2.000083000000359,2.429466999999931,4.458377700000256,103.60121370000024,112.85663350000004,11.69954430000007,,,,not a vegan,neg,194,1,neg,0
9,SCN_141,2,0,LowReward_DisPeer,like game streaming,132.0,Charlie,L,119.25493289999986,119.25493289999986,L,0.7508851000002323,0.7508851000002323,116.9748958,119.5392953999999,124.26481150000018,126.26566580000008,2.564399599999888,2.000854299999901,3.5688130999997156,4.725505100000191,116.44565460000013,126.26571539999986,13.403349799999887,,,,like game streaming,pos,132,4,pos,0
