ItemNumber,ItemText,Reward,Value,ITI,ISI,Order,peerName(dis/comp/sim),TrialType,Condition
203.0,Confident,0,1,1.156,4.0015,[0 1 2 3],Charlie,LowReward_Computer,1
21,Like eating out,1,2,0.96831,2.6719,,Computer,HighReward_SimPeer,5
145,Like bugs,0,0,2.0634,2.3704,,Shiloh,LowReward_DisPeer,0
172.0,Like group chats,0,2,4.6207,3.5144,,,LowReward_SimPeer,2
67.0,Like juice,0,1,3.8971,2.0334,,,LowReward_Computer,1
47.0,Like new people,1,1,2.2882,3.6878,,,HighReward_Computer,4
182,Like arts and crafts,1,2,2.0961,2.5479,,,HighReward_SimPeer,5
10,Like reading,0,0,2.1972,4.0835,,,LowReward_DisPeer,0
52.0,Don't like romance novels,0,1,2.8986,4.9934,,,LowReward_Computer,1
129.0,Like knitting,0,2,1.4029,2.5631,,,LowReward_SimPeer,2
65.0,Don't like watching sunsets,0,0,2.5677,2.6378,,,LowReward_DisPeer,0
89.0,Stand up for others,0,1,4.5966,3.7378,,,LowReward_Computer,1
137,Like bright clothes,0,0,4.4662,2.8586,,,LowReward_DisPeer,0
180.0,Like friends,1,1,2.8072,4.5208,,,HighReward_Computer,4
143.0,Don't like dancing,1,1,0.9661299999999999,2.9102,,,HighReward_Computer,4
92.0,Don't like baseball,1,2,1.5804,3.8937,,,HighReward_SimPeer,5
34,Like broccoli,0,0,3.2188,2.5479,,,LowReward_DisPeer,0
147.0,Like texting,1,1,1.8156,5.2182,,,HighReward_Computer,4
148,Like family,1,2,3.2502,5.9407,,,HighReward_SimPeer,5
31.0,Unique,1,0,1.171,2.2412,,,HighReward_DisPeer,3
102,Like stand-up comedy,1,2,2.6517,1.9802,,,HighReward_SimPeer,5
120.0,Don't like coffee,1,2,3.9129,3.1382,,,HighReward_SimPeer,5
99.0,Like board games,1,0,1.1755,5.8364,,,HighReward_DisPeer,3
84.0,Don't like museums,0,0,1.3693,4.9934,,,LowReward_DisPeer,0
26.0,Don't like walks,0,2,2.3175,4.6358,,,LowReward_SimPeer,2
44,Like sports,0,0,2.5399,2.5665,,,LowReward_DisPeer,0
134,Like pop music,1,2,1.1411,5.2958,,,HighReward_SimPeer,5
39,Weird,0,0,1.8407,2.0429,,,LowReward_DisPeer,0
169.0,Don't like scary movies,0,0,2.9304,5.2182,,,LowReward_DisPeer,0
184.0,Like English class,1,1,4.6207,2.8586,,,HighReward_Computer,4
93.0,Don't like riding horses,1,0,1.1098,2.0442,,,HighReward_DisPeer,3
51,Like roller coasters,1,2,3.7226,3.4158,,,HighReward_SimPeer,5
7.0,Don't like napping,1,1,1.2889,4.4489,,,HighReward_Computer,4
41,Nerdy,0,0,2.2773,4.7147,,,LowReward_DisPeer,0
191.0,Don't like ballet,1,2,3.9129,3.7156,,,HighReward_SimPeer,5
66,Like school,1,2,4.7647,5.2257,,,HighReward_SimPeer,5
125,Like computer coding,1,2,1.7213,2.7585,,,HighReward_SimPeer,5
123.0,Like sushi,1,0,1.3244,2.8002,,,HighReward_DisPeer,3
6.0,Like mysteries,1,1,3.1185,2.5272,,,HighReward_Computer,4
27.0,Like science fiction,0,2,4.0271,2.9919,,,LowReward_SimPeer,2
131.0,Like animated films,1,1,1.8672,2.8435,,,HighReward_Computer,4
97.0,Like the movies,0,1,1.5833,4.4067,,,LowReward_Computer,1
208,Like libraries,0,0,1.2596,2.4096,,,LowReward_DisPeer,0
17.0,Don't like social media,0,1,2.6258,2.2412,,,LowReward_Computer,1
159.0,Like arguing,0,1,3.7226,5.9395,,,LowReward_Computer,1
59.0,Like riding bikes,0,1,1.1279,2.9102,,,LowReward_Computer,1
165.0,Don't like having a crush,1,2,2.1787,3.3202,,,HighReward_SimPeer,5
43.0,Don't like gardening,0,0,2.6639999999999997,3.258,,,LowReward_DisPeer,0
15.0,Like French fries,1,0,1.7658,2.0659,,,HighReward_DisPeer,3
23.0,Don't like baking,0,1,3.7607,2.5799,,,LowReward_Computer,1
