ItemNumber,ItemText,Reward,Value,ITI,ISI,Order,peerName(dis/comp/sim),TrialType,Condition
67, like juice,1,1,2.87061115,2.18493623,,,HighReward_Computer,4
178, not an actor,0,0,4.61501288,2.56000528,,,LowReward_DisPeer,0
68, like painting my nails,1,2,5.24492236,2.94294743,,,HighReward_SimPeer,5
69, like my teachers,1,2,3.33229666,2.97550552,,,HighReward_SimPeer,5
194, not a vegan,1,2,2.77628335,4.14247651,,,HighReward_SimPeer,5
198, don't like magazines,1,0,2.37941659,4.23469258,,,HighReward_DisPeer,3
199, not religious,1,1,2.37376117,3.15125435,,,HighReward_Computer,4
70, like road trips,0,2,3.3251220999999997,2.09864808,,,LowReward_SimPeer,2
71, like Netflix,1,1,3.2072655,2.00073031,,,HighReward_Computer,4
207, don't speak French,0,1,3.59675378,3.67911175,,,LowReward_Computer,1
73, like being with friends a lot,0,0,3.49133083,4.03426325,,,LowReward_DisPeer,0
74, like picnics,0,1,3.89786081,3.74844444,,,LowReward_Computer,1
75, like drawing,0,1,3.15107181,2.8914405,,,LowReward_Computer,1
209, don't play video games,0,1,2.16481546,4.119203700000001,,,LowReward_Computer,1
76, like reality TV,1,2,4.815747099999999,4.48172236,,,HighReward_SimPeer,5
77, like cooking shows,0,0,2.23052651,2.87625004,,,LowReward_DisPeer,0
79, like rap,0,1,2.2259827999999997,2.83304288,,,LowReward_Computer,1
83, like legos,1,2,2.18287147,4.43948955,,,HighReward_SimPeer,5
86, thoughtful,1,1,4.06008363,4.00998361,,,HighReward_Computer,4
87, like the summer,0,2,4.96787029,2.67061368,,,LowReward_SimPeer,2
210, don't like playing guitar,1,1,3.98542573,2.58073647,,,HighReward_Computer,4
88, like playing piano,1,0,2.21112071,2.85974911,,,HighReward_DisPeer,3
3, don't like jazz,0,2,2.4937386000000004,5.97226471,,,LowReward_SimPeer,2
92, like baseball,1,0,2.45788803,2.07569032,,,HighReward_DisPeer,3
93, like riding horses,0,1,4.77758825,4.55358093,,,LowReward_Computer,1
10, don't like reading,0,1,3.41043318,3.54719571,,,LowReward_Computer,1
94, like cookies,0,2,2.07344949,2.80712023,,,LowReward_SimPeer,2
16, don't like ice skating,1,0,2.74641674,3.92646868,,,HighReward_DisPeer,3
99, like board games,0,2,5.41466813,5.53797127,,,LowReward_SimPeer,2
25, don't like Social Studies,1,2,5.08216659,5.91210767,,,HighReward_SimPeer,5
27, don't like science fiction,0,0,2.90862819,2.59586552,,,LowReward_DisPeer,0
