ItemNumber,ItemText,Reward,Value,ITI,ISI,Order,peerName(dis/comp/sim),TrialType,Condition
104.0,Like barbeques,1,0,1.156,4.0015,[2 0 3 1],Charlie,HighReward_DisPeer,3
208.0,Like libraries,0,1,0.96831,2.6719,,Computer,LowReward_Computer,1
108.0,Like fast food,1,2,2.0634,2.3704,,Shiloh,HighReward_SimPeer,5
154.0,Like musicals,1,1,4.6207,3.5144,,,HighReward_Computer,4
7.0,Like napping,1,1,3.8971,2.0334,,,HighReward_Computer,4
29.0,A reader,1,2,2.2882,3.6878,,,HighReward_SimPeer,5
14.0,Like painting,0,0,2.0961,2.5479,,,LowReward_DisPeer,0
10.0,Like reading,1,0,2.1972,4.0835,,,HighReward_DisPeer,3
69.0,Like teachers,0,0,2.8986,4.9934,,,LowReward_DisPeer,0
43.0,Don't like gardening,1,2,1.4029,2.5631,,,HighReward_SimPeer,5
54.0,Like video chatting,1,2,2.5677,2.6378,,,HighReward_SimPeer,5
2.0,Not superstitious,1,1,4.5966,3.7378,,,HighReward_Computer,4
197.0,Funny,1,1,4.4662,2.8586,,,HighReward_Computer,4
177.0,Don't care about the environment,0,0,2.8072,4.5208,,,LowReward_DisPeer,0
41.0,Nerdy,0,1,0.9661299999999999,2.9102,,,LowReward_Computer,1
181.0,Like watching movies,1,2,1.5804,3.8937,,,HighReward_SimPeer,5
79.0,Like rap,0,2,3.2188,2.5479,,,LowReward_SimPeer,2
25.0,Like Social Studies,0,0,1.8156,5.2182,,,LowReward_DisPeer,0
19.0,Don't like non-fiction,0,1,3.2502,5.9407,,,LowReward_Computer,1
123.0,Like sushi,0,0,1.171,2.2412,,,LowReward_DisPeer,0
143.0,Don't like dancing,0,0,2.6517,1.9802,,,LowReward_DisPeer,0
161.0,Like shopping online,0,2,3.9129,3.1382,,,LowReward_SimPeer,2
168.0,Don't like country music,1,2,1.1755,5.8364,,,HighReward_SimPeer,5
27.0,Like science fiction,0,1,1.3693,4.9934,,,LowReward_Computer,1
211.0,Like candy,0,1,2.3175,4.6358,,,LowReward_Computer,1
31.0,Unique,1,2,2.5399,2.5665,,,HighReward_SimPeer,5
75.0,Like drawing,0,0,1.1411,5.2958,,,LowReward_DisPeer,0
129.0,Don't like knitting,0,2,1.8407,2.0429,,,LowReward_SimPeer,2
72.0,Don't like politics,0,1,2.9304,5.2182,,,LowReward_Computer,1
111.0,Like being alone,1,1,4.6207,2.8586,,,HighReward_Computer,4
147.0,Like texting,1,2,1.1098,2.0442,,,HighReward_SimPeer,5
60.0,An artist,0,0,3.7226,3.4158,,,LowReward_DisPeer,0
86.0,Thoughtful,0,1,1.2889,4.4489,,,LowReward_Computer,1
117.0,Like podcasts,0,2,2.2773,4.7147,,,LowReward_SimPeer,2
67.0,Don't like juice,0,0,3.9129,3.7156,,,LowReward_DisPeer,0
100.0,Like field trips,0,1,4.7647,5.2257,,,LowReward_Computer,1
36.0,Like volunteering,0,0,1.7213,2.7585,,,LowReward_DisPeer,0
20.0,Don't care about social justice,1,1,1.3244,2.8002,,,HighReward_Computer,4
18.0,Like cleaning,1,1,3.1185,2.5272,,,HighReward_Computer,4
186.0,Not shy,1,2,4.0271,2.9919,,,HighReward_SimPeer,5
125.0,Like computer coding,0,0,1.8672,2.8435,,,LowReward_DisPeer,0
63.0,Like watching TV,1,1,1.5833,4.4067,,,HighReward_Computer,4
87.0,Like summer,1,2,1.2596,2.4096,,,HighReward_SimPeer,5
50.0,Don't like Starbucks,1,0,2.6258,2.2412,,,HighReward_DisPeer,3
97.0,Like the movies,1,2,3.7226,5.9395,,,HighReward_SimPeer,5
169.0,Don't like scary movies,1,2,1.1279,2.9102,,,HighReward_SimPeer,5
131.0,Like animated films,1,0,2.1787,3.3202,,,HighReward_DisPeer,3
76.0,Don't like reality TV,0,0,2.6639999999999997,3.258,,,LowReward_DisPeer,0
157.0,Like decorating room,1,0,1.7658,2.0659,,,HighReward_DisPeer,3
200.0,Like kids at school,1,2,3.7607,2.5799,,,HighReward_SimPeer,5
35.0,Like cartoons,1,2,2.1057,3.5853,,,HighReward_SimPeer,5
149.0,Don't like celebrities,0,1,2.8345,5.4701,,,LowReward_Computer,1
199.0,Not religious,1,1,1.0759,4.4067,,,HighReward_Computer,4
45.0,Don't like playing clarinet,1,2,2.0518,2.6064,,,HighReward_SimPeer,5
74.0,Like picnics,1,1,1.1561,4.2019,,,HighReward_Computer,4
42.0,Can't whistle,1,0,4.1899,4.6338,,,HighReward_DisPeer,3
170.0,Like cats,1,2,2.7652,2.1521,,,HighReward_SimPeer,5
85.0,Like science class,0,0,2.1522,2.827,,,LowReward_DisPeer,0
118.0,Like writing stories,0,0,3.0051,5.6062,,,LowReward_DisPeer,0
51.0,Don't like roller coasters,0,0,2.0961,2.6064,,,LowReward_DisPeer,0
26.0,Like walks,0,2,1.9117,2.3385,,,LowReward_SimPeer,2
34.0,Like broccoli,0,1,2.8345,4.6885,,,LowReward_Computer,1
140.0,Good at math,1,1,1.7280000000000002,4.5208,,,HighReward_Computer,4
174.0,Like birds,0,1,2.3554,2.0225,,,LowReward_Computer,1
30.0,Loud,1,2,4.1197,3.0518,,,HighReward_SimPeer,5
144.0,Like photography,0,0,1.1633,2.1505,,,LowReward_DisPeer,0
137.0,Don't like bright clothes,0,2,1.1279,4.2019,,,LowReward_SimPeer,2
1.0,An animal lover,0,0,4.0428,3.9772,,,LowReward_DisPeer,0
167.0,Don't like babysitting,1,2,2.8018,4.0015,,,HighReward_SimPeer,5
91.0,Don't like laser tag,1,1,2.2295,3.2258,,,HighReward_Computer,4
185.0,Don't like funny movies,0,0,3.1616,3.7522,,,LowReward_DisPeer,0
120.0,Don't like coffee,0,1,3.2502,2.7743,,,LowReward_Computer,1
171.0,Like hip hop,0,2,0.99611,3.1062,,,LowReward_SimPeer,2
57.0,Like olives,0,0,2.8428,2.0429,,,LowReward_DisPeer,0
49.0,Like ice cream,1,2,2.0397,2.4076,,,HighReward_SimPeer,5
59.0,Like riding bikes,0,0,1.915,2.2057,,,LowReward_DisPeer,0
