ItemNumber,ItemText,Reward,Value,ITI,ISI,Order,peerName(dis/comp/sim),TrialType,Condition
187.0,Like eating healthy,1,1,2.19615082,2.37126377,,,HighReward_Computer,4
200,Like kids at school,1,2,4.95213315,5.9734947,,,HighReward_SimPeer,5
201,Have a job,0,0,3.82019733,5.69189423,,,LowReward_DisPeer,0
204.0,Not a vegetarian,0,1,2.87061115,2.18493623,,,LowReward_Computer,1
173.0,An activist,0,2,4.61501288,2.56000528,,,LowReward_SimPeer,2
198.0,Don't like magazines,0,0,5.24492236,2.94294743,,,LowReward_DisPeer,0
36.0,Like volunteering,0,1,3.33229666,2.97550552,,,LowReward_Computer,1
188,Like news,0,0,2.77628335,4.14247651,,,LowReward_DisPeer,0
13.0,Like chatting online,1,1,2.37941659,4.23469258,,,HighReward_Computer,4
162.0,Don't like superhero movies,1,1,2.37376117,3.15125435,,,HighReward_Computer,4
161.0,Don't like shopping online,1,2,3.3251220999999997,2.09864808,,,HighReward_SimPeer,5
96,Like history,0,0,3.2072655,2.00073031,,,LowReward_DisPeer,0
53.0,Like mountains,1,1,3.59675378,3.67911175,,,HighReward_Computer,4
41,Nerdy,1,2,3.49133083,4.03426325,,,HighReward_SimPeer,5
1.0,An animal lover,1,0,3.89786081,3.74844444,,,HighReward_DisPeer,3
28,Like vacations,1,2,3.15107181,2.8914405,,,HighReward_SimPeer,5
112.0,Don't like watching sports,1,2,2.16481546,4.119203700000001,,,HighReward_SimPeer,5
124.0,Like sleeping in,1,0,4.815747099999999,4.48172236,,,HighReward_DisPeer,3
211.0,Don't like candy,0,0,2.23052651,2.87625004,,,LowReward_DisPeer,0
,,,,2.2259827999999997,2.83304288,,,,
,,,,2.18287147,4.43948955,,,,
,,,,4.06008363,4.00998361,,,,
,,,,4.96787029,2.67061368,,,,
,,,,3.98542573,2.58073647,,,,
,,,,2.21112071,2.85974911,,,,
,,,,2.4937386000000004,5.97226471,,,,
,,,,2.45788803,2.07569032,,,,
