,ParticipantID,Run,Condition,ConditionName,Question,QuestionNumber,peerName,left_or_right,FirstButtonPressTime,CorrectButtonPressTime,ParticipantsFirstAnswer,First_RT,Correct_RT,ItemStart,ItemEnd,FeedbackStart,FeedbackEnd,ItemDur,FeedbackDur,Real_ITI,Real_ISI,TrialStart,TrialEnd,TrialEnd_Length,FixStart,FixDur,FixEnd,item_x,valence,item_y,rating,valence_redcap,redcap_v_task
0,SCN_101,1,2,LowReward_SimPeer,like non-fiction,19.0,Shiloh,R,9.210866500041448,9.210866500041448,R,0.9623290000017732,0.9623290000017732,6.7092899000272155,9.500863299996126,13.525045300018974,15.52437270001974,2.791573399968911,1.999327400000766,1.156588300014846,4.024169399985112,6.182492399995681,15.524434400023893,10.50691649998771,0.0166091999853961,5.000846700044349,5.017455900029745,like non-fiction,pos,19,5,pos,0
1,SCN_101,1,0,LowReward_DisPeer,like yard sales,78.0,Charlie,R,19.992227100010496,19.992227100010496,R,0.6395892999717034,0.6395892999717034,17.82419320003828,20.270880500029307,22.95922600000631,24.958443899988197,2.4466872999910265,1.999217899981886,1.7559756999835372,2.6883338000043295,17.30141990003176,24.95850290003,9.428137499955485,,,,like yard sales,pos,78,5,pos,0
2,SCN_101,1,5,HighReward_SimPeer,like laser tag,91.0,Shiloh,L,30.79077650001273,30.79077650001273,L,0.5847356999875046,0.5847356999875046,28.67789370001992,31.07430279999971,33.462092700006906,35.46149160002824,2.396409099979792,1.9993989000213332,3.173816099995747,2.387778200034518,28.153515900019556,35.46154700004263,10.497489999979734,,,,like laser tag,pos,91,5,pos,0
3,SCN_101,1,0,LowReward_DisPeer,like cooking,122.0,Charlie,L,43.87715820001904,43.87715820001904,L,0.5628053999971598,0.5628053999971598,41.78474430000642,44.16529959999025,47.70524540002225,49.70559590001358,2.3805552999838255,2.0003504999913275,5.785974700003862,3.539934400003403,41.268425500020385,49.7056467999937,14.238570999994408,,,,like cooking,pos,122,5,pos,0
4,SCN_101,1,0,LowReward_DisPeer,don't play video games,209.0,Charlie,R,57.538735200010706,57.538735200010706,R,0.683139199973084,0.683139199973084,55.33097770001041,57.82401989999926,59.87789870001143,61.87743260001298,2.4930421999888495,1.999533900001552,5.084674299985636,2.0538673999835737,54.81033770000795,61.87748540000757,12.166041899996344,,,,don't play video games,neg,209,2,neg,0
5,SCN_101,1,4,HighReward_Computer,like arts and crafts,182.0,Computer,R,67.87180850002915,67.87180850002915,R,0.5634205000242218,0.5634205000242218,65.77938220003853,68.159870100033,71.86685670004226,73.86638190003578,2.3804878999944776,1.9995251999935135,3.356080199999269,3.7069751999806617,65.25435040000593,73.86644529999467,11.983243099995889,,,,like arts and crafts,pos,182,5,pos,0
6,SCN_101,1,3,HighReward_DisPeer,like sneakers,133.0,Charlie,R,79.77462580002612,79.77462580002612,R,0.5607776999822818,0.5607776999822818,77.68521070003044,80.06540319998749,82.6368921000394,84.6375710000284,2.3801924999570474,2.0006788999889977,3.2824296999606304,2.571477099962067,77.16970930004027,84.63762130000396,10.765457600005902,,,,like sneakers,pos,133,4,pos,0
7,SCN_101,1,5,HighReward_SimPeer,like field trips,100.0,Shiloh,R,90.66803850000724,90.66803850000724,R,0.5672878999612294,0.5672878999612294,88.57132960000308,90.95231980003882,95.04330680001294,97.04399239999476,2.3809902000357397,2.000685599981807,3.3871457999921404,4.0909756000037305,88.04445610003313,97.04404390003764,12.40037599997595,,,,like field trips,pos,100,5,pos,0
8,SCN_101,1,4,HighReward_Computer,like musicals,154.0,Computer,L,103.62542420002865,103.62542420002865,L,0.4336324000032618,0.4336324000032618,101.66370450000976,103.9097802999895,108.9191695000045,110.91838190000271,2.246075799979735,1.999212399998214,4.081846100045368,5.009377599984873,101.14556640002412,110.91843610000797,13.868115900026169,,,,like musicals,pos,154,5,pos,0
9,SCN_101,1,0,LowReward_DisPeer,like gardening,43.0,Charlie,L,116.32652719999896,116.32652719999896,L,0.6113891999702901,0.6113891999702901,114.1854033000418,116.61678720003692,119.20497260004048,121.20563169999514,2.431383899995126,2.000659099954646,2.7198152000200935,2.5881741999764927,113.65939079999224,121.20568720001027,10.2810601000092,,,,like gardening,pos,43,5,pos,0
10,SCN_101,1,5,HighReward_SimPeer,don't like stand-up comedy,102.0,Shiloh,R,127.57326969999122,127.57326969999122,R,0.5871465999516658,0.5871465999516658,125.4582033000188,127.85438620002242,130.50934620003682,132.50938340002904,2.396182900003623,2.000037199992221,3.7071390000055544,2.6549482999835163,124.93252440000651,132.5094376000343,11.297538099985104,,,,don't like stand-up comedy,neg,102,2,neg,0
11,SCN_101,1,5,HighReward_SimPeer,like video chatting,54.0,Shiloh,L,140.9466755000176,140.9466755000176,L,0.6023352000047453,0.6023352000047453,138.81683920003707,141.2292967000394,144.98632229998475,146.98691820004024,2.412457500002347,2.0005959000554867,5.759901500015985,3.7570143999764696,138.28964159998577,146.98697120003635,14.471421099966392,,,,like video chatting,pos,54,5,pos,0
12,SCN_101,1,5,HighReward_SimPeer,like decorating room,157.0,Shiloh,L,155.34404090000317,155.34404090000317,L,0.6730328999692574,0.6730328999692574,153.1417095999932,155.62275420001242,158.49482220003847,160.49442639999324,2.481044600019231,1.9996041999547745,5.6144444000092335,2.8720570000004955,152.62119370000437,160.49447420000797,13.501358100038487,,,,like decorating room,pos,157,5,pos,0
13,SCN_101,1,3,HighReward_DisPeer,like sleeping in,124.0,Charlie,R,167.4379155000206,167.4379155000206,R,0.9782491999794728,0.9782491999794728,164.93050459999358,167.72867390001193,172.27050620003138,174.27043919998687,2.798169300018344,1.9999329999554905,3.884148899989668,4.541817199962679,164.39937400002964,174.27049000002444,13.770027399994431,,,,like sleeping in,pos,124,5,pos,0
14,SCN_101,1,4,HighReward_Computer,not a vegetarian,204.0,Computer,L,178.8275910000084,178.8275910000084,L,0.7462454999913462,0.7462454999913462,176.55175179999787,179.11657419998664,182.03872210002737,184.0384295000113,2.5648223999887705,1.9997073999838904,1.7379715000279248,2.9221365000121295,176.02884290000657,184.03848069999367,9.761950000014622,,,,not a vegetarian,neg,204,2,neg,0
15,SCN_101,1,2,LowReward_SimPeer,can whistle,42.0,Shiloh,L,189.2897461000248,189.2897461000248,L,0.5886516000027768,0.5886516000027768,187.17177570000055,189.5693966000108,193.47670140000992,195.4764923999901,2.3976209000102244,1.9997909999801775,2.585176100023091,3.907293500029482,186.64427970000543,195.4765456999885,11.431942499999424,,,,can whistle,pos,42,5,pos,0
16,SCN_101,1,4,HighReward_Computer,like halloween,22.0,Computer,R,202.6313846000121,202.6313846000121,R,0.7055991999804974,0.7055991999804974,200.39599480002653,202.91090250003617,205.48241430002963,207.48232700000517,2.514907700009644,1.999912699975539,4.381348599970806,2.5715005999663845,199.8784853999969,207.4823747000191,11.999365800002124,,,,like halloween,pos,22,5,pos,0
17,SCN_101,1,1,LowReward_Computer,disorganized,32.0,Computer,L,213.42908349999925,213.42908349999925,L,1.017077500000596,1.017077500000596,210.88546540000243,213.71441240003332,218.95755910000295,220.9573572000372,2.828947000030894,1.9997981000342409,2.8604149000020698,5.243135299999267,210.36326820001705,220.95743790001143,13.4687160999747,,,,disorganized,pos,32,5,pos,0
18,SCN_101,1,0,LowReward_DisPeer,like picnics,74.0,Charlie,R,227.5550733000273,227.5550733000273,R,0.5491931000142358,0.5491931000142358,225.4771006000228,227.84074790001617,233.80186750000576,235.8014576000278,2.3636472999933176,1.9995901000220329,3.983510799997021,5.96110850002151,224.9614433000097,235.80154170002788,14.833642599987796,,,,like picnics,pos,74,5,pos,0
19,SCN_101,1,1,LowReward_Computer,like cooking shows,77.0,Computer,L,241.13604850001863,241.13604850001863,L,0.8888008000212722,0.8888008000212722,238.71872820000863,241.4160762000247,243.6703078999999,245.67034200002672,2.6973480000160635,2.0000341000268236,2.372084000031464,2.2542198000010103,238.1943299000268,245.67039490002207,9.858268700016197,,,,like cooking shows,pos,77,4,pos,0
20,SCN_101,1,1,LowReward_Computer,don't like broccoli,34.0,Computer,L,251.85402239998805,251.85402239998805,L,0.6029446000466123,0.6029446000466123,249.7224578000023,252.13607000000775,254.12389200000325,256.1239052999881,2.4136122000054456,2.0000132999848574,3.513042400008999,1.987810500024352,249.2037457000115,256.1239579000394,10.447111999965273,,,,don't like broccoli,neg,34,1,neg,0
21,SCN_101,1,1,LowReward_Computer,like legos,83.0,Computer,R,263.78802979999455,263.78802979999455,R,0.5311973999487236,0.5311973999487236,261.7267465000041,264.0749436999904,267.2309273999999,269.23128080001334,2.3481971999863163,2.0003534000134096,5.059991899994202,3.155972099979408,261.2035506000393,269.2313357000239,13.100656700029504,,,,like legos,pos,83,4,pos,0
22,SCN_101,1,5,HighReward_SimPeer,not weird,39.0,Shiloh,R,274.39402790000895,274.39402790000895,R,0.7010627000126988,0.7010627000126988,272.1626889000181,274.6780858000275,280.5390710000065,282.5383917000145,2.515396900009364,1.9993207000079565,2.3949562999769114,5.860973700007889,271.6462964999955,282.5384514000034,13.300079000007829,,,,not weird,neg,39,2,neg,0
23,SCN_101,1,0,LowReward_DisPeer,don't like science fiction,27.0,Charlie,L,287.67130019998876,287.67130019998876,L,0.6367766000330448,0.6367766000330448,285.5065797000425,287.9528513000114,292.96223950001877,294.962270500022,2.4462715999688953,2.0000310000032187,2.4194409999763593,5.009376000030898,284.9789131000289,294.96232729998883,12.417102299979888,294.96656050003367,4.999576399975922,299.9661369000096,don't like science fiction,neg,27,2,neg,0
