,ParticipantID,Run,Condition,ConditionName,Question,QuestionNumber,peerName,left_or_right,FirstButtonPressTime,CorrectButtonPressTime,ParticipantsFirstAnswer,First_RT,Correct_RT,ItemStart,ItemEnd,FeedbackStart,FeedbackEnd,ItemDur,FeedbackDur,Real_ITI,Real_ISI,TrialStart,TrialEnd,TrialEnd_Length,FixStart,FixDur,FixEnd
0,SCN_181,4,3,HighReward_DisPeer,A happy person,138.0,Shiloh,R,8.553757800000312,8.553757800000312,R,0.47299840000005133,0.47299840000005133,6.555068800000299,8.832094000000325,11.954663200000141,13.954310000000078,2.2770252000000255,1.9996467999999368,0.9975380999999288,3.1225572000003012,6.022608499999933,13.954365000000053,8.938546600000336,0.015766200000143726,4.999991499999851,5.015757699999995
1,SCN_181,4,5,HighReward_SimPeer,Like to stay at home,119.0,Charlie,L,20.855594099999962,20.855594099999962,L,0.7023113000000194,0.7023113000000194,18.624602400000185,21.138399899999968,23.192265500000303,25.19264750000002,2.5137974999997823,2.0003819999997177,4.1205847999999605,2.053853799999615,18.095678099999986,25.1926997999999,11.231474700000035,N/A,N/A,N/A
2,SCN_181,4,5,HighReward_SimPeer,Like stand-up comedy,102.0,Charlie,R,30.94992400000001,30.94992400000001,R,0.5943449999999757,0.5943449999999757,28.82653900000014,31.240594800000054,33.66173060000028,35.66171800000029,2.4140557999999146,1.999987400000009,3.0882148000000598,2.4211241999996673,28.30092740000009,35.661763300000075,10.463527899999917,N/A,N/A,N/A
3,SCN_181,4,1,LowReward_Computer,Like watching movies,181.0,Computer,L,41.283644800000275,41.283644800000275,L,0.47519130000000587,0.47519130000000587,39.28270819999989,41.57653010000013,43.797376299999996,45.79775370000016,2.293821900000239,2.0003774000001613,3.0707366999999977,2.2208356999999523,38.75293379999994,45.79780359999995,10.130509300000085,N/A,N/A,N/A
4,SCN_181,4,4,HighReward_Computer,Like Starbucks,50.0,Computer,L,52.5298158999999,52.5298158999999,L,0.7175123000001804,0.7175123000001804,50.28297010000006,52.81414750000022,56.35410890000003,58.35458850000032,2.5311774000001606,2.00047960000029,3.938916800000243,3.5399499000000105,49.75670850000006,58.3546381000001,12.55127450000009,N/A,N/A,N/A
5,SCN_181,4,5,HighReward_SimPeer,Don't like bugs,145.0,Charlie,R,65.56766160000006,65.56766160000006,R,0.5474017999999887,0.5474017999999887,63.493673500000114,65.8551252000002,71.38212160000012,73.38188179999997,2.3614517000000887,1.999760199999855,4.592330599999968,5.526984199999788,62.9668772,73.3819327000001,15.021640599999955,N/A,N/A,N/A
6,SCN_181,4,4,HighReward_Computer,A musician,155.0,Computer,L,79.26129290000017,79.26129290000017,L,0.7825545999999122,0.7825545999999122,76.94684529999995,79.54729950000001,82.11880790000032,84.11875090000012,2.6004542000000583,1.9999429999998029,3.0186556000003293,2.5714960000000247,76.42117940000026,84.11881110000013,10.730818199999703,N/A,N/A,N/A
7,SCN_181,4,3,HighReward_DisPeer,Like phone calls,113.0,Shiloh,R,89.69056550000005,89.69056550000005,R,0.7090071000002354,0.7090071000002354,87.45160440000018,89.98342890000004,92.37125330000026,94.37088300000005,2.531824499999857,1.9996296999997867,2.7896441000002596,2.387812799999665,86.92888410000023,94.37093240000013,10.246273899999778,N/A,N/A,N/A
8,SCN_181,4,5,HighReward_SimPeer,An animal lover,1.0,Charlie,R,102.68109240000013,102.68109240000013,R,0.7419724999999744,0.7419724999999744,100.40985570000021,102.97431580000011,107.09871659999999,109.0989168000001,2.5644600999999057,2.0002002000001085,5.50124760000017,4.124388799999906,99.89291970000022,109.09896909999998,14.72217099999989,N/A,N/A,N/A
9,SCN_181,4,0,LowReward_DisPeer,A reader,29.0,Shiloh,R,114.67886490000001,114.67886490000001,R,0.6504989999998543,0.6504989999998543,112.49756190000016,114.96333060000006,118.25283040000022,120.25284529999999,2.4657686999998987,2.000014899999769,2.8616689000000406,3.2894882000000507,111.98080190000019,120.25289939999993,11.14779580000004,N/A,N/A,N/A
10,SCN_181,4,0,LowReward_DisPeer,Like playing clarinet,45.0,Shiloh,R,125.77993090000018,125.77993090000018,R,1.0650573000002623,1.0650573000002623,123.18656250000004,126.06731660000014,131.74466370000027,133.74385650000022,2.880754100000104,1.9991927999999461,2.3996276999996553,5.677335600000333,122.67290840000032,133.74390459999995,13.485006500000054,N/A,N/A,N/A
11,SCN_181,4,0,LowReward_DisPeer,Don't like barbeques,104.0,Shiloh,R,139.60142610000003,139.60142610000003,R,0.7435295999998743,0.7435295999998743,137.3299009000002,139.8931207999999,144.05160819999992,146.05262760000005,2.5632198999996945,2.001019400000132,3.0407946999998785,4.158475600000202,136.8058762999999,146.05266269999993,12.302696400000059,N/A,N/A,N/A
12,SCN_181,4,2,LowReward_SimPeer,Like riding bikes,59.0,Charlie,R,153.67961139999989,153.67961139999989,R,0.5450845999998819,0.5450845999998819,151.60322859999997,153.96939999999995,155.95645250000007,157.95575550000012,2.3661713999999847,1.9993030000000545,5.014684000000216,1.9870411000001695,151.08604229999992,157.9558016000001,11.898106000000098,N/A,N/A,N/A
13,SCN_181,4,1,LowReward_Computer,Like vacations,28.0,Computer,L,163.16485300000022,163.16485300000022,L,0.529274400000304,0.529274400000304,161.1060523000001,163.45374590000029,167.44455620000008,169.44394850000026,2.3476936000001842,1.9993923000001814,2.6088450000002013,3.9907976999998027,160.58574090000002,169.44399470000008,11.482006799999908,N/A,N/A,N/A
14,SCN_181,4,4,HighReward_Computer,Don't like jazz,3.0,Computer,R,176.50608950000014,176.50608950000014,R,0.5122903999999835,0.5122903999999835,174.46848,176.79529090000005,181.5041022999999,183.50360320000027,2.326810900000055,1.9995009000003847,4.474880400000075,4.708799799999724,173.93985350000003,183.5036514000003,14.05346899999995,N/A,N/A,N/A
15,SCN_181,4,1,LowReward_Computer,Don’t like young adult lit,64.0,Computer,R,190.45630380000011,190.45630380000011,R,0.6367394999997487,0.6367394999997487,188.29359810000005,190.73795960000007,192.8251723000003,194.82471450000003,2.4443615000000136,1.9995421999997234,4.243310300000303,2.0872008999999707,187.76783490000025,194.82476480000014,11.314538800000264,N/A,N/A,N/A
16,SCN_181,4,5,HighReward_SimPeer,Close with family,164.0,Charlie,L,201.67011270000012,201.67011270000012,L,0.7297599999997146,0.7297599999997146,199.4127642000003,201.95888240000022,205.0312825000001,207.0313341000001,2.54611819999991,2.000051600000006,4.044272099999944,3.072388300000057,198.88992120000012,207.03138260000014,12.200273599999946,N/A,N/A,N/A
17,SCN_181,4,0,LowReward_DisPeer,Like whistling,121.0,Shiloh,R,213.0925225000001,213.0925225000001,R,0.6807936000000154,0.6807936000000154,210.88155300000017,213.38018069999998,216.03515060000018,218.03571950000014,2.4986276999998154,2.000568899999962,3.308157299999948,2.6549580999999307,210.3598892,218.03576789999988,10.998080200000004,N/A,N/A,N/A
18,SCN_181,4,2,LowReward_SimPeer,Can whistle,42.0,Charlie,L,223.41035850000026,223.41035850000026,L,0.6960831000001235,0.6960831000001235,221.1851332000001,223.69942850000007,228.34205840000004,230.34263220000003,2.514295299999958,2.0005737999999837,2.6133649999997033,4.642618200000015,220.6689540000002,230.3426830000003,12.300604900000053,N/A,N/A,N/A
19,SCN_181,4,0,LowReward_DisPeer,A runner,62.0,Shiloh,L,238.39945780000016,238.39945780000016,L,0.7406331000001956,0.7406331000001956,236.1286001000003,238.6773575000002,243.9205089000002,245.9207494000002,2.548757399999886,2.000240500000018,5.243901400000141,5.24313949999987,235.60577349999994,245.92078870000023,15.571703899999648,N/A,N/A,N/A
20,SCN_181,4,5,HighReward_SimPeer,Don't have a job,201.0,Charlie,R,253.18063380000012,253.18063380000012,R,0.7609145999999782,0.7609145999999782,250.89042740000014,253.4716209000003,258.51438559999997,260.51377790000015,2.581193500000154,1.9993923000001814,4.425042200000007,5.042754399999922,250.36601599999995,260.5138274000001,14.587724900000012,N/A,N/A,N/A
21,SCN_181,4,4,HighReward_Computer,Like drawing,75.0,Computer,R,266.5381977000002,266.5381977000002,R,0.7602490999997826,0.7602490999997826,264.2487460000002,266.8298503000001,270.00248850000025,272.0019285000003,2.581104299999879,1.9994400000000496,3.187820600000123,3.1726277999996455,263.7226370000003,272.0019774000002,11.481683899999553,N/A,N/A,N/A
22,SCN_181,4,0,LowReward_DisPeer,Don't like baseball,92.0,Shiloh,R,277.0162387999999,277.0162387999999,R,0.6018049999997857,0.6018049999997857,274.88586239999995,277.29939650000006,281.8245243000001,283.82394079999995,2.4135341000001063,1.9994164999998247,2.3469473000000107,4.525115899999946,274.3698631000002,283.8239954999999,11.815281199999845,N/A,N/A,N/A
23,SCN_181,4,1,LowReward_Computer,Like museums,84.0,Computer,R,289.89402210000026,289.89402210000026,R,0.5721733000000313,0.5721733000000313,287.79317560000027,290.1734126000001,293.31261900000027,295.3128107000002,2.380236999999852,2.0001916999999594,3.418799300000046,3.139194899999893,287.26375469999994,295.31285720000005,11.482164600000033,295.3168062,5.000923500000226,300.3177297000002
