,ParticipantID,Run,Condition,ConditionName,Question,QuestionNumber,peerName,left_or_right,FirstButtonPressTime,CorrectButtonPressTime,ParticipantsFirstAnswer,First_RT,Correct_RT,ItemStart,ItemEnd,FeedbackStart,FeedbackEnd,ItemDur,FeedbackDur,Real_ITI,Real_ISI,TrialStart,TrialEnd,TrialEnd_Length,FixStart,FixDur,FixEnd,item_x,valence,item_y,rating,valence_redcap,redcap_v_task
0,SCN_198,1,2,LowReward_SimPeer,like keeping a journal,175.0,Charlie,L,9.031996800000115,9.031996800000115,L,0.7829079000000547,0.7829079000000547,6.727600100000018,9.317742200000112,13.341981999999916,15.342476100000113,2.5901421000000937,2.0004941000001963,1.1565761000001658,4.024228600000015,6.182705799999894,15.342540399999962,10.325156900000138,0.0166432999999415,5.000659300000052,5.017302599999994,like keeping a journal,pos,175,4,pos,0
1,SCN_198,1,0,LowReward_DisPeer,like yard sales,78.0,Shiloh,R,20.02261589999989,20.02261589999989,R,0.6692561999998361,0.6692561999998361,17.82296580000002,20.305155999999897,22.993604000000005,24.993491200000108,2.4821901999998772,1.999887200000103,1.9361730000000537,2.68843650000008,17.29865300000006,24.993542700000035,9.645811999999978,,,,like yard sales,pos,78,4,pos,0
2,SCN_198,1,5,HighReward_SimPeer,like breakfast food,152.0,Charlie,R,30.772797699999956,30.772797699999956,R,0.5654030000000603,0.5654030000000603,28.679203700000016,31.05881640000007,33.44683250000003,35.44688620000011,2.3796127000000524,2.0000537000000804,3.1456589000001713,2.388006000000132,28.159760199999937,35.446942000000035,10.447944600000028,,,,like breakfast food,pos,152,4,pos,0
3,SCN_198,1,0,LowReward_DisPeer,like aquariums,163.0,Shiloh,L,43.93857129999992,43.93857129999992,L,0.6060574999999062,0.6060574999999062,41.804889799999955,44.21701299999995,47.74069630000008,49.740640400000075,2.4121231999999964,1.9999440999999931,5.806068200000027,3.5236721999999645,41.2733146999999,49.740689100000054,14.287993200000074,,,,like aquariums,pos,163,4,pos,0
4,SCN_198,1,0,LowReward_DisPeer,not an artist,60.0,Shiloh,R,57.55264839999995,57.55264839999995,R,0.6954152999999224,0.6954152999999224,55.327055599999994,57.84237959999996,59.8961832,61.89564930000006,2.515323999999964,1.9994661000000633,5.042916800000057,2.0537925999999516,54.80358939999997,61.89570129999993,12.149370199999794,,,,not an artist,neg,60,2,neg,0
5,SCN_198,1,4,HighReward_Computer,like phone calls,113.0,Computer,L,68.17384310000011,68.17384310000011,L,0.8638541000000259,0.8638541000000259,65.78042389999996,68.4620718000001,72.16903000000002,74.16853459999993,2.6816479000001436,1.9995045999999093,3.342878599999949,3.706946800000196,65.25954350000006,74.16858339999999,12.267201699999989,,,,like phone calls,pos,113,4,pos,0
6,SCN_198,1,3,HighReward_DisPeer,like family,148.0,Shiloh,L,79.77187000000004,79.77187000000004,L,0.5564231999999265,0.5564231999999265,77.6851064,80.0503435999999,82.60608180000008,84.60555130000012,2.3652371999999104,1.999469500000032,2.983059800000092,2.5557283000000552,77.17252750000011,84.60560250000003,10.43223510000007,,,,like family,pos,148,5,pos,0
7,SCN_198,1,5,HighReward_SimPeer,a reader,29.0,Charlie,R,90.40974290000008,90.40974290000008,R,0.3407187000000249,0.3407187000000249,88.54025969999998,90.70347629999992,94.79448509999996,96.7946637,2.1632165999999415,2.0001786000000266,3.3909699999999248,4.090997600000037,88.0166033999999,96.7947114000001,12.183309000000008,,,,a reader,pos,29,4,pos,0
8,SCN_198,1,4,HighReward_Computer,like mini golf,153.0,Computer,R,103.70338199999992,103.70338199999992,R,0.5266153000000031,0.5266153000000031,101.64809650000008,103.9948429000001,109.00426470000002,111.0046496,2.346746400000029,2.000384899999972,4.307897800000092,5.009410500000058,101.12272179999992,111.00470100000008,14.204096799999888,,,,like mini golf,pos,153,4,pos,0
9,SCN_198,1,0,LowReward_DisPeer,like comic books,176.0,Shiloh,L,116.26054980000004,116.26054980000004,L,0.560482600000114,0.560482600000114,114.16905640000004,116.5516204999999,119.13974039999994,121.13958739999998,2.382564099999854,1.9998470000000452,2.626891300000125,2.5881087000000207,113.65160390000004,121.13963869999998,10.12907539999992,,,,like comic books,pos,176,4,pos,0
10,SCN_198,1,5,HighReward_SimPeer,not shy,186.0,Charlie,L,127.60289680000004,127.60289680000004,L,0.6318500999998378,0.6318500999998378,125.44088609999994,127.8893974,130.5443671999999,132.5445697,2.448511300000064,2.000202500000114,3.7580639999998766,2.6549586000001,124.91829039999992,132.54462310000008,11.399061999999958,,,,not shy,neg,186,2,neg,0
